date,channel,signups
2024-01-13,Email,3
2024-01-13,Direct,17
2024-01-13,Partner,7
2024-01-14,Organic,71
2024-01-14,Google,45
2024-01-14,LinkedIn,29
2024-01-14,Facebook,21
2024-01-14,Referral,29
2024-01-14,Email,15
2024-01-14,Direct,8
2024-01-14,Partner,15
2024-01-15,Organic,38
2024-01-15,Google,45
2024-01-15,LinkedIn,11
2024-01-15,Facebook,6
2024-01-15,Referral,29
2024-01-15,Email,22
2024-01-15,Direct,12
2024-01-15,Partner,26
2024-01-16,Organic,47
2024-01-16,Google,28
2024-01-16,LinkedIn,9
2024-01-16,Facebook,16
2024-01-16,Referral,9
2024-01-16,Email,3
2024-01-16,Direct,5
2024-01-16,Partner,19
2024-01-17,Organic,60
2024-01-17,Google,35
2024-01-17,LinkedIn,40
2024-01-17,Facebook,13
2024-01-17,Referral,21
2024-01-17,Email,5
2024-01-17,Direct,7
2024-01-17,Partner,32
2024-01-18,Organic,63
2024-01-18,Google,49
2024-01-18,LinkedIn,37
2024-01-18,Facebook,18
2024-01-18,Referral,37
2024-01-18,Email,19
2024-01-18,Direct,3
2024-01-18,Partner,5
2024-01-19,Organic,38
2024-01-19,Google,35
2024-01-19,LinkedIn,19
2024-01-19,Facebook,17
2024-01-19,Referral,28
2024-01-19,Email,7
2024-01-19,Direct,8
2024-01-19,Partner,5
2024-01-20,Organic,50
2024-01-20,Google,29
2024-01-20,LinkedIn,33
2024-01-20,Facebook,14
2024-01-20,Referral,29
2024-01-20,Email,3
2024-01-20,Direct,5
2024-01-20,Partner,8
2024-01-21,Organic,47
2024-01-21,Google,26
2024-01-21,LinkedIn,49
2024-01-21,Facebook,26
2024-01-21,Referral,19
2024-01-21,Email,3
2024-01-21,Direct,17
2024-01-21,Partner,14
2024-01-22,Organic,38
2024-01-22,Google,40
2024-01-22,LinkedIn,46
2024-01-22,Facebook,19
2024-01-22,Referral,17
2024-01-22,Email,6
2024-01-22,Direct,18
2024-01-22,Partner,5
2024-01-23,Organic,55
2024-01-23,Google,37
2024-01-23,LinkedIn,31
2024-01-23,Facebook,21
2024-01-23,Referral,29
2024-01-23,Email,3
2024-01-23,Direct,14
2024-01-23,Partner,8
2024-01-24,Organic,40
2024-01-24,Google,45
2024-01-24,LinkedIn,14
2024-01-24,Facebook,20
2024-01-24,Referral,38
2024-01-24,Email,10
2024-01-24,Direct,4
2024-01-24,Partner,56
2024-01-25,Organic,60
2024-01-25,Google,49
2024-01-25,LinkedIn,33
2024-01-25,Facebook,12
2024-01-25,Referral,11
2024-01-25,Email,24
2024-01-25,Direct,12
2024-01-25,Partner,28
2024-01-26,Organic,61
2024-01-26,Google,17
2024-01-26,LinkedIn,27
2024-01-26,Facebook,8
2024-01-26,Referral,15
2024-01-26,Email,3
2024-01-26,Direct,13
2024-01-26,Partner,9
2024-01-27,Organic,66
2024-01-27,Google,14
2024-01-27,LinkedIn,23
2024-01-27,Facebook,16
2024-01-27,Referral,33
2024-01-27,Email,3
2024-01-27,Direct,15
2024-01-27,Partner,5
2024-01-28,Organic,38
2024-01-28,Google,28
2024-01-28,LinkedIn,26
2024-01-28,Facebook,23
2024-01-28,Referral,15
2024-01-28,Email,9
2024-01-28,Direct,13
2024-01-28,Partner,5
2024-01-29,Organic,73
2024-01-29,Google,41
2024-01-29,LinkedIn,14
2024-01-29,Facebook,13
2024-01-29,Referral,43
2024-01-29,Email,17
2024-01-29,Direct,24
2024-01-29,Partner,35
2024-01-30,Organic,37
2024-01-30,Google,28
2024-01-30,LinkedIn,18
2024-01-30,Facebook,25
2024-01-30,Referral,4
2024-01-30,Email,9
2024-01-30,Direct,14
2024-01-30,Partner,5
2024-01-31,Organic,46
2024-01-31,Google,35
2024-01-31,LinkedIn,34
2024-01-31,Facebook,14
2024-01-31,Referral,28
2024-01-31,Email,16
2024-01-31,Direct,18
2024-01-31,Partner,14
2024-02-01,Organic,53
2024-02-01,Google,41
2024-02-01,LinkedIn,9
2024-02-01,Facebook,34
2024-02-01,Referral,43
2024-02-01,Email,15
2024-02-01,Direct,12
2024-02-01,Partner,27
2024-02-02,Organic,77
2024-02-02,Google,30
2024-02-02,LinkedIn,15
2024-02-02,Facebook,16
2024-02-02,Referral,16
2024-02-02,Email,3
2024-02-02,Direct,11
2024-02-02,Partner,12
2024-02-03,Organic,49
2024-02-03,Google,31
2024-02-03,LinkedIn,55
2024-02-03,Facebook,20
2024-02-03,Referral,12
2024-02-03,Email,17
2024-02-03,Direct,9
2024-02-03,Partner,20
2024-02-04,Organic,46
2024-02-04,Google,37
2024-02-04,LinkedIn,30
2024-02-04,Facebook,11
2024-02-04,Referral,41
2024-02-04,Email,19
2024-02-04,Direct,18
2024-02-04,Partner,19
2024-02-05,Organic,53
2024-02-05,Google,40
2024-02-05,LinkedIn,27
2024-02-05,Facebook,20
2024-02-05,Referral,15
2024-02-05,Email,3
2024-02-05,Direct,21
2024-02-05,Partner,5
2024-02-06,Organic,63
2024-02-06,Google,27
2024-02-06,LinkedIn,26
2024-02-06,Facebook,14
2024-02-06,Referral,4
2024-02-06,Email,3
2024-02-06,Direct,2
2024-02-06,Partner,25
2024-02-07,Organic,42
2024-02-07,Google,49
2024-02-07,LinkedIn,4
2024-02-07,Facebook,26
2024-02-07,Referral,17
2024-02-07,Email,3
2024-02-07,Direct,24
2024-02-07,Partner,34
2024-02-08,Organic,61
2024-02-08,Google,30
2024-02-08,LinkedIn,32
2024-02-08,Facebook,20
2024-02-08,Referral,15
2024-02-08,Email,10
2024-02-08,Direct,12
2024-02-08,Partner,5
2024-02-09,Organic,62
2024-02-09,Google,40
2024-02-09,LinkedIn,45
2024-02-09,Facebook,20
2024-02-09,Referral,20
2024-02-09,Email,20
2024-02-09,Direct,16
2024-02-09,Partner,35
2024-02-10,Organic,59
2024-02-10,Google,39
2024-02-10,LinkedIn,6
2024-02-10,Facebook,21
2024-02-10,Referral,30
2024-02-10,Email,19
2024-02-10,Direct,13
2024-02-10,Partner,27
2024-02-11,Organic,42
2024-02-11,Google,23
2024-02-11,LinkedIn,25
2024-02-11,Facebook,16
2024-02-11,Referral,10
2024-02-11,Email,13
2024-02-11,Direct,8
2024-02-11,Partner,17
2024-02-12,Organic,71
2024-02-12,Google,31
2024-02-12,LinkedIn,40
2024-02-12,Facebook,8
2024-02-12,Referral,21
2024-02-12,Email,21
2024-02-12,Direct,17
2024-02-12,Partner,10
2024-02-13,Organic,62
2024-02-13,Google,39
2024-02-13,LinkedIn,11
2024-02-13,Facebook,21
2024-02-13,Referral,17
2024-02-13,Email,10
2024-02-13,Direct,3
2024-02-13,Partner,22
2024-02-14,Organic,53
2024-02-14,Google,38
2024-02-14,LinkedIn,4
2024-02-14,Facebook,12
2024-02-14,Referral,17
2024-02-14,Email,11
2024-02-14,Direct,18
2024-02-14,Partner,5
2024-02-15,Organic,58
2024-02-15,Google,27
2024-02-15,LinkedIn,4
2024-02-15,Facebook,8
2024-02-15,Referral,21
2024-02-15,Email,29
2024-02-15,Direct,2
2024-02-15,Partner,5
2024-02-16,Organic,54
2024-02-16,Google,42
2024-02-16,LinkedIn,19
2024-02-16,Facebook,17
2024-02-16,Referral,4
2024-02-16,Email,15
2024-02-16,Direct,31
2024-02-16,Partner,18
2024-02-17,Organic,60
2024-02-17,Google,30
2024-02-17,LinkedIn,10
2024-02-17,Facebook,30
2024-02-17,Referral,33
2024-02-17,Email,27
2024-02-17,Direct,17
2024-02-17,Partner,5
2024-02-18,Organic,57
2024-02-18,Google,46
2024-02-18,LinkedIn,4
2024-02-18,Facebook,27
2024-02-18,Referral,11
2024-02-18,Email,17
2024-02-18,Direct,21
2024-02-18,Partner,5
2024-02-19,Organic,54
2024-02-19,Google,30
2024-02-19,LinkedIn,4
2024-02-19,Facebook,15
2024-02-19,Referral,20
2024-02-19,Email,23
2024-02-19,Direct,3
2024-02-19,Partner,5
2024-02-20,Organic,44
2024-02-20,Google,18
2024-02-20,LinkedIn,16
2024-02-20,Facebook,20
2024-02-20,Referral,22
2024-02-20,Email,13
2024-02-20,Direct,4
2024-02-20,Partner,31
2024-02-21,Organic,53
2024-02-21,Google,43
2024-02-21,LinkedIn,10
2024-02-21,Facebook,20
2024-02-21,Referral,19
2024-02-21,Email,3
2024-02-21,Direct,20
2024-02-21,Partner,5
2024-02-22,Organic,42
2024-02-22,Google,34
2024-02-22,LinkedIn,23
2024-02-22,Facebook,18
2024-02-22,Referral,4
2024-02-22,Email,8
2024-02-22,Direct,10
2024-02-22,Partner,5
2024-02-23,Organic,53
2024-02-23,Google,41
2024-02-23,LinkedIn,31
2024-02-23,Facebook,10
2024-02-23,Referral,24
2024-02-23,Email,12
2024-02-23,Direct,16
2024-02-23,Partner,19
2024-02-24,Organic,58
2024-02-24,Google,30
2024-02-24,LinkedIn,10
2024-02-24,Facebook,25
2024-02-24,Referral,34
2024-02-24,Email,3
2024-02-24,Direct,13
2024-02-24,Partner,15
2024-02-25,Organic,59
2024-02-25,Google,46
2024-02-25,LinkedIn,22
2024-02-25,Facebook,19
2024-02-25,Referral,6
2024-02-25,Email,3
2024-02-25,Direct,14
2024-02-25,Partner,24
2024-02-26,Organic,51
2024-02-26,Google,49
2024-02-26,LinkedIn,25
2024-02-26,Facebook,7
2024-02-26,Referral,14
2024-02-26,Email,3
2024-02-26,Direct,19
2024-02-26,Partner,15
2024-02-27,Organic,50
2024-02-27,Google,41
2024-02-27,LinkedIn,14
2024-02-27,Facebook,11
2024-02-27,Referral,28
2024-02-27,Email,22
2024-02-27,Direct,21
2024-02-27,Partner,21
2024-02-28,Organic,40
2024-02-28,Google,46
2024-02-28,LinkedIn,42
2024-02-28,Facebook,30
2024-02-28,Referral,19
2024-02-28,Email,24
2024-02-28,Direct,12
2024-02-28,Partner,34
2024-02-29,Organic,60
2024-02-29,Google,43
2024-02-29,LinkedIn,37
2024-02-29,Facebook,6
2024-02-29,Referral,20
2024-02-29,Email,3
2024-02-29,Direct,9
2024-02-29,Partner,18
2024-03-01,Organic,54
2024-03-01,Google,37
2024-03-01,LinkedIn,26
2024-03-01,Facebook,18
2024-03-01,Referral,30
2024-03-01,Email,3
2024-03-01,Direct,12
2024-03-01,Partner,5
2024-03-02,Organic,52
2024-03-02,Google,31
2024-03-02,LinkedIn,14
2024-03-02,Facebook,11
2024-03-02,Referral,11
2024-03-02,Email,27
2024-03-02,Direct,19
2024-03-02,Partner,5
2024-03-03,Organic,44
2024-03-03,Google,34
2024-03-03,LinkedIn,10
2024-03-03,Facebook,24
2024-03-03,Referral,11
2024-03-03,Email,3
2024-03-03,Direct,4
2024-03-03,Partner,18
2024-03-04,Organic,53
2024-03-04,Google,30
2024-03-04,LinkedIn,10
2024-03-04,Facebook,16
2024-03-04,Referral,9
2024-03-04,Email,20
2024-03-04,Direct,14
2024-03-04,Partner,5
2024-03-05,Organic,53
2024-03-05,Google,33
2024-03-05,LinkedIn,24
2024-03-05,Facebook,19
2024-03-05,Referral,23
2024-03-05,Email,3
2024-03-05,Direct,15
2024-03-05,Partner,8
2024-03-06,Organic,43
2024-03-06,Google,29
2024-03-06,LinkedIn,18
2024-03-06,Facebook,15
2024-03-06,Referral,17
2024-03-06,Email,23
2024-03-06,Direct,8
2024-03-06,Partner,15
2024-03-07,Organic,55
2024-03-07,Google,52
2024-03-07,LinkedIn,31
2024-03-07,Facebook,22
2024-03-07,Referral,17
2024-03-07,Email,3
2024-03-07,Direct,7
2024-03-07,Partner,10
2024-03-08,Organic,61
2024-03-08,Google,40
2024-03-08,LinkedIn,11
2024-03-08,Facebook,30
2024-03-08,Referral,4
2024-03-08,Email,7
2024-03-08,Direct,19
2024-03-08,Partner,37
2024-03-09,Organic,54
2024-03-09,Google,45
2024-03-09,LinkedIn,25
2024-03-09,Facebook,21
2024-03-09,Referral,18
2024-03-09,Email,19
2024-03-09,Direct,22
2024-03-09,Partner,7
2024-03-10,Organic,52
2024-03-10,Google,21
2024-03-10,LinkedIn,18
2024-03-10,Facebook,19
2024-03-10,Referral,4
2024-03-10,Email,3
2024-03-10,Direct,8
2024-03-10,Partner,23
2024-03-11,Organic,48
2024-03-11,Google,43
2024-03-11,LinkedIn,17
2024-03-11,Facebook,18
2024-03-11,Referral,23
2024-03-11,Email,18
2024-03-11,Direct,17
2024-03-11,Partner,18
2024-03-12,Organic,63
2024-03-12,Google,41
2024-03-12,LinkedIn,18
2024-03-12,Facebook,14
2024-03-12,Referral,21
2024-03-12,Email,18
2024-03-12,Direct,3
2024-03-12,Partner,13
2024-03-13,Organic,52
2024-03-13,Google,24
2024-03-13,LinkedIn,22
2024-03-13,Facebook,13
2024-03-13,Referral,37
2024-03-13,Email,15
2024-03-13,Direct,4
2024-03-13,Partner,34
2024-03-14,Organic,56
2024-03-14,Google,18
2024-03-14,LinkedIn,38
2024-03-14,Facebook,18
2024-03-14,Referral,5
2024-03-14,Email,11
2024-03-14,Direct,5
2024-03-14,Partner,5
2024-03-15,Organic,30
2024-03-15,Google,26
2024-03-15,LinkedIn,57
2024-03-15,Facebook,7
2024-03-15,Referral,4
2024-03-15,Email,3
2024-03-15,Direct,27
2024-03-15,Partner,5
2024-03-16,Organic,52
2024-03-16,Google,48
2024-03-16,LinkedIn,25
2024-03-16,Facebook,11
2024-03-16,Referral,21
2024-03-16,Email,6
2024-03-16,Direct,20
2024-03-16,Partner,11
2024-03-17,Organic,34
2024-03-17,Google,62
2024-03-17,LinkedIn,20
2024-03-17,Facebook,26
2024-03-17,Referral,5
2024-03-17,Email,3
2024-03-17,Direct,28
2024-03-17,Partner,18
2024-03-18,Organic,52
2024-03-18,Google,33
2024-03-18,LinkedIn,29
2024-03-18,Facebook,20
2024-03-18,Referral,11
2024-03-18,Email,8
2024-03-18,Direct,12
2024-03-18,Partner,21
2024-03-19,Organic,58
2024-03-19,Google,30
2024-03-19,LinkedIn,22
2024-03-19,Facebook,15
2024-03-19,Referral,8
2024-03-19,Email,14
2024-03-19,Direct,15
2024-03-19,Partner,45
2024-03-20,Organic,57
2024-03-20,Google,32
2024-03-20,LinkedIn,12
2024-03-20,Facebook,8
2024-03-20,Referral,8
2024-03-20,Email,22
2024-03-20,Direct,13
2024-03-20,Partner,14
2024-03-21,Organic,60
2024-03-21,Google,37
2024-03-21,LinkedIn,12
2024-03-21,Facebook,15
2024-03-21,Referral,4
2024-03-21,Email,10
2024-03-21,Direct,21
2024-03-21,Partner,7
2024-03-22,Organic,59
2024-03-22,Google,42
2024-03-22,LinkedIn,23
2024-03-22,Facebook,15
2024-03-22,Referral,25
2024-03-22,Email,16
2024-03-22,Direct,10
2024-03-22,Partner,5
2024-03-23,Organic,52
2024-03-23,Google,32
2024-03-23,LinkedIn,11
2024-03-23,Facebook,18
2024-03-23,Referral,34
2024-03-23,Email,3
2024-03-23,Direct,19
2024-03-23,Partner,13
2024-03-24,Organic,39
2024-03-24,Google,29
2024-03-24,LinkedIn,12
2024-03-24,Facebook,17
2024-03-24,Referral,4
2024-03-24,Email,3
2024-03-24,Direct,14
2024-03-24,Partner,6
2024-03-25,Organic,65
2024-03-25,Google,28
2024-03-25,LinkedIn,10
2024-03-25,Facebook,30
2024-03-25,Referral,12
2024-03-25,Email,12
2024-03-25,Direct,10
2024-03-25,Partner,5
2024-03-26,Organic,50
2024-03-26,Google,41
2024-03-26,LinkedIn,22
2024-03-26,Facebook,19
2024-03-26,Referral,24
2024-03-26,Email,10
2024-03-26,Direct,13
2024-03-26,Partner,5
2024-03-27,Organic,42
2024-03-27,Google,41
2024-03-27,LinkedIn,49
2024-03-27,Facebook,16
2024-03-27,Referral,11
2024-03-27,Email,24
2024-03-27,Direct,20
2024-03-27,Partner,5
2024-03-28,Organic,54
2024-03-28,Google,28
2024-03-28,LinkedIn,16
2024-03-28,Facebook,9
2024-03-28,Referral,16
2024-03-28,Email,3
2024-03-28,Direct,12
2024-03-28,Partner,26
2024-03-29,Organic,41
2024-03-29,Google,28
2024-03-29,LinkedIn,12
2024-03-29,Facebook,25
2024-03-29,Referral,27
2024-03-29,Email,3
2024-03-29,Direct,20
2024-03-29,Partner,5
2024-03-30,Organic,61
2024-03-30,Google,41
2024-03-30,LinkedIn,5
2024-03-30,Facebook,18
2024-03-30,Referral,28
2024-03-30,Email,3
2024-03-30,Direct,12
2024-03-30,Partner,5
2024-03-31,Organic,51
2024-03-31,Google,38
2024-03-31,LinkedIn,16
2024-03-31,Facebook,15
2024-03-31,Referral,19
2024-03-31,Email,17
2024-03-31,Direct,13
2024-03-31,Partner,7
2024-04-01,Organic,74
2024-04-01,Google,52
2024-04-01,LinkedIn,8
2024-04-01,Facebook,16
2024-04-01,Referral,9
2024-04-01,Email,10
2024-04-01,Direct,7
2024-04-01,Partner,5
2024-04-02,Organic,52
2024-04-02,Google,42
2024-04-02,LinkedIn,6
2024-04-02,Facebook,25
2024-04-02,Referral,24
2024-04-02,Email,24
2024-04-02,Direct,14
2024-04-02,Partner,12
2024-04-03,Organic,55
2024-04-03,Google,30
2024-04-03,LinkedIn,11
2024-04-03,Facebook,19
2024-04-03,Referral,37
2024-04-03,Email,23
2024-04-03,Direct,18
2024-04-03,Partner,35
2024-04-04,Organic,52
2024-04-04,Google,38
2024-04-04,LinkedIn,4
2024-04-04,Facebook,21
2024-04-04,Referral,39
2024-04-04,Email,10
2024-04-04,Direct,24
2024-04-04,Partner,5
2024-04-05,Organic,49
2024-04-05,Google,38
2024-04-05,LinkedIn,18
2024-04-05,Facebook,22
2024-04-05,Referral,15
2024-04-05,Email,19
2024-04-05,Direct,6
2024-04-05,Partner,12
2024-04-06,Organic,62
2024-04-06,Google,34
2024-04-06,LinkedIn,21
2024-04-06,Facebook,2
2024-04-06,Referral,13
2024-04-06,Email,10
2024-04-06,Direct,23
2024-04-06,Partner,13
2024-04-07,Organic,53
2024-04-07,Google,42
2024-04-07,LinkedIn,14
2024-04-07,Facebook,21
2024-04-07,Referral,26
2024-04-07,Email,7
2024-04-07,Direct,8
2024-04-07,Partner,5
2024-04-08,Organic,47
2024-04-08,Google,48
2024-04-08,LinkedIn,26
2024-04-08,Facebook,6
2024-04-08,Referral,7
2024-04-08,Email,12
2024-04-08,Direct,2
2024-04-08,Partner,33
2024-04-09,Organic,30
2024-04-09,Google,36
2024-04-09,LinkedIn,9
2024-04-09,Facebook,15
2024-04-09,Referral,4
2024-04-09,Email,13
2024-04-09,Direct,22
2024-04-09,Partner,26
2024-04-10,Organic,57
2024-04-10,Google,39
2024-04-10,LinkedIn,10
2024-04-10,Facebook,17
2024-04-10,Referral,26
2024-04-10,Email,3
2024-04-10,Direct,6
2024-04-10,Partner,10
2024-04-11,Organic,59
2024-04-11,Google,34
2024-04-11,LinkedIn,25
2024-04-11,Facebook,27
2024-04-11,Referral,27
2024-04-11,Email,3
2024-04-11,Direct,23
2024-04-11,Partner,6
2024-04-12,Organic,46
2024-04-12,Google,30
2024-04-12,LinkedIn,4
2024-04-12,Facebook,18
2024-04-12,Referral,30
2024-04-12,Email,3
2024-04-12,Direct,2
2024-04-12,Partner,7
2024-04-13,Organic,57
2024-04-13,Google,36
2024-04-13,LinkedIn,4
2024-04-13,Facebook,16
2024-04-13,Referral,27
2024-04-13,Email,7
2024-04-13,Direct,17
2024-04-13,Partner,21
2024-04-14,Organic,64
2024-04-14,Google,31
2024-04-14,LinkedIn,7
2024-04-14,Facebook,24
2024-04-14,Referral,4
2024-04-14,Email,3
2024-04-14,Direct,24
2024-04-14,Partner,40
2024-04-15,Organic,31
2024-04-15,Google,25
2024-04-15,LinkedIn,34
2024-04-15,Facebook,15
2024-04-15,Referral,4
2024-04-15,Email,19
2024-04-15,Direct,19
2024-04-15,Partner,19
2024-04-16,Organic,71
2024-04-16,Google,32
2024-04-16,LinkedIn,27
2024-04-16,Facebook,24
2024-04-16,Referral,9
2024-04-16,Email,8
2024-04-16,Direct,5
2024-04-16,Partner,26
2024-04-17,Organic,64
2024-04-17,Google,35
2024-04-17,LinkedIn,12
2024-04-17,Facebook,16
2024-04-17,Referral,33
2024-04-17,Email,3
2024-04-17,Direct,8
2024-04-17,Partner,6
2024-04-18,Organic,50
2024-04-18,Google,38
2024-04-18,LinkedIn,41
2024-04-18,Facebook,17
2024-04-18,Referral,22
2024-04-18,Email,10
2024-04-18,Direct,16
2024-04-18,Partner,5
2024-04-19,Organic,43
2024-04-19,Google,32
2024-04-19,LinkedIn,17
2024-04-19,Facebook,24
2024-04-19,Referral,42
2024-04-19,Email,27
2024-04-19,Direct,5
2024-04-19,Partner,18
2024-04-20,Organic,55
2024-04-20,Google,43
2024-04-20,LinkedIn,11
2024-04-20,Facebook,16
2024-04-20,Referral,20
2024-04-20,Email,3
2024-04-20,Direct,10
2024-04-20,Partner,5
2024-04-21,Organic,55
2024-04-21,Google,41
2024-04-21,LinkedIn,33
2024-04-21,Facebook,27
2024-04-21,Referral,12
2024-04-21,Email,3
2024-04-21,Direct,2
2024-04-21,Partner,37
2024-04-22,Organic,48
2024-04-22,Google,38
2024-04-22,LinkedIn,14
2024-04-22,Facebook,20
2024-04-22,Referral,32
2024-04-22,Email,3
2024-04-22,Direct,2
2024-04-22,Partner,5
2024-04-23,Organic,56
2024-04-23,Google,40
2024-04-23,LinkedIn,33
2024-04-23,Facebook,26
2024-04-23,Referral,9
2024-04-23,Email,3
2024-04-23,Direct,17
2024-04-23,Partner,5
2024-04-24,Organic,56
2024-04-24,Google,42
2024-04-24,LinkedIn,8
2024-04-24,Facebook,28
2024-04-24,Referral,39
2024-04-24,Email,5
2024-04-24,Direct,2
2024-04-24,Partner,16
2024-04-25,Organic,39
2024-04-25,Google,26
2024-04-25,LinkedIn,47
2024-04-25,Facebook,22
2024-04-25,Referral,17
2024-04-25,Email,11
2024-04-25,Direct,13
2024-04-25,Partner,15
2024-04-26,Organic,60
2024-04-26,Google,42
2024-04-26,LinkedIn,4
2024-04-26,Facebook,12
2024-04-26,Referral,4
2024-04-26,Email,17
2024-04-26,Direct,2
2024-04-26,Partner,5
2024-04-27,Organic,49
2024-04-27,Google,40
2024-04-27,LinkedIn,14
2024-04-27,Facebook,19
2024-04-27,Referral,21
2024-04-27,Email,10
2024-04-27,Direct,19
2024-04-27,Partner,32
2024-04-28,Organic,62
2024-04-28,Google,35
2024-04-28,LinkedIn,19
2024-04-28,Facebook,13
2024-04-28,Referral,4
2024-04-28,Email,13
2024-04-28,Direct,13
2024-04-28,Partner,22
2024-04-29,Organic,68
2024-04-29,Google,32
2024-04-29,LinkedIn,4
2024-04-29,Facebook,11
2024-04-29,Referral,27
2024-04-29,Email,3
2024-04-29,Direct,3
2024-04-29,Partner,5
2024-04-30,Organic,67
2024-04-30,Google,34
2024-04-30,LinkedIn,27
2024-04-30,Facebook,11
2024-04-30,Referral,27
2024-04-30,Email,19
2024-04-30,Direct,11
2024-04-30,Partner,11
2024-05-01,Organic,50
2024-05-01,Google,24
2024-05-01,LinkedIn,6
2024-05-01,Facebook,13
2024-05-01,Referral,48
2024-05-01,Email,24
2024-05-01,Direct,6
2024-05-01,Partner,5
2024-05-02,Organic,40
2024-05-02,Google,43
2024-05-02,LinkedIn,7
2024-05-02,Facebook,8
2024-05-02,Referral,39
2024-05-02,Email,14
2024-05-02,Direct,20
2024-05-02,Partner,5
2024-05-03,Organic,61
2024-05-03,Google,39
2024-05-03,LinkedIn,40
2024-05-03,Facebook,11
2024-05-03,Referral,29
2024-05-03,Email,29
2024-05-03,Direct,2
2024-05-03,Partner,5
2024-05-04,Organic,67
2024-05-04,Google,38
2024-05-04,LinkedIn,37
2024-05-04,Facebook,21
2024-05-04,Referral,30
2024-05-04,Email,15
2024-05-04,Direct,2
2024-05-04,Partner,39
2024-05-05,Organic,66
2024-05-05,Google,42
2024-05-05,LinkedIn,26
2024-05-05,Facebook,10
2024-05-05,Referral,18
2024-05-05,Email,23
2024-05-05,Direct,13
2024-05-05,Partner,26
2024-05-06,Organic,52
2024-05-06,Google,42
2024-05-06,LinkedIn,23
2024-05-06,Facebook,18
2024-05-06,Referral,8
2024-05-06,Email,3
2024-05-06,Direct,5
2024-05-06,Partner,6
2024-05-07,Organic,41
2024-05-07,Google,43
2024-05-07,LinkedIn,39
2024-05-07,Facebook,19
2024-05-07,Referral,11
2024-05-07,Email,7
2024-05-07,Direct,11
2024-05-07,Partner,26
2024-05-08,Organic,45
2024-05-08,Google,47
2024-05-08,LinkedIn,17
2024-05-08,Facebook,25
2024-05-08,Referral,44
2024-05-08,Email,3
2024-05-08,Direct,31
2024-05-08,Partner,5
2024-05-09,Organic,63
2024-05-09,Google,40
2024-05-09,LinkedIn,22
2024-05-09,Facebook,20
2024-05-09,Referral,25
2024-05-09,Email,29
2024-05-09,Direct,8
2024-05-09,Partner,25
2024-05-10,Organic,55
2024-05-10,Google,28
2024-05-10,LinkedIn,4
2024-05-10,Facebook,13
2024-05-10,Referral,43
2024-05-10,Email,3
2024-05-10,Direct,11
2024-05-10,Partner,5
2024-05-11,Organic,52
2024-05-11,Google,36
2024-05-11,LinkedIn,9
2024-05-11,Facebook,11
2024-05-11,Referral,16
2024-05-11,Email,3
2024-05-11,Direct,2
