date,channel,paid_customers,mrr
2024-01-12,Google,4,880
2024-01-12,LinkedIn,5,1750
2024-01-12,Facebook,1,180
2024-01-12,Referral,4,1200
2024-01-12,Email,2,480
2024-01-12,Direct,0,0
2024-01-12,Partner,6,2400
2024-01-13,Organic,8,1760
2024-01-13,Google,3,660
2024-01-13,LinkedIn,5,1750
2024-01-13,Facebook,0,0
2024-01-13,Referral,5,1500
2024-01-13,Email,0,0
2024-01-13,Direct,1,250
2024-01-13,Partner,1,400
2024-01-14,Organic,8,1760
2024-01-14,Google,4,880
2024-01-14,LinkedIn,5,1750
2024-01-14,Facebook,1,180
2024-01-14,Referral,5,1500
2024-01-14,Email,1,240
2024-01-14,Direct,0,0
2024-01-14,Partner,3,1200
2024-01-15,Organic,4,880
2024-01-15,Google,4,880
2024-01-15,LinkedIn,2,700
2024-01-15,Facebook,0,0
2024-01-15,Referral,5,1500
2024-01-15,Email,2,480
2024-01-15,Direct,1,250
2024-01-15,Partner,6,2400
2024-01-16,Organic,5,1100
2024-01-16,Google,2,440
2024-01-16,LinkedIn,1,350
2024-01-16,Facebook,1,180
2024-01-16,Referral,1,300
2024-01-16,Email,0,0
2024-01-16,Direct,0,0
2024-01-16,Partner,4,1600
2024-01-17,Organic,7,1540
2024-01-17,Google,3,660
2024-01-17,LinkedIn,7,2450
2024-01-17,Facebook,0,0
2024-01-17,Referral,3,900
2024-01-17,Email,0,0
2024-01-17,Direct,0,0
2024-01-17,Partner,7,2800
2024-01-18,Organic,7,1540
2024-01-18,Google,4,880
2024-01-18,LinkedIn,7,2450
2024-01-18,Facebook,1,180
2024-01-18,Referral,6,1800
2024-01-18,Email,2,480
2024-01-18,Direct,0,0
2024-01-18,Partner,1,400
2024-01-19,Organic,4,880
2024-01-19,Google,3,660
2024-01-19,LinkedIn,3,1050
2024-01-19,Facebook,1,180
2024-01-19,Referral,5,1500
2024-01-19,Email,0,0
2024-01-19,Direct,0,0
2024-01-19,Partner,1,400
2024-01-20,Organic,6,1320
2024-01-20,Google,2,440
2024-01-20,LinkedIn,6,2100
2024-01-20,Facebook,0,0
2024-01-20,Referral,5,1500
2024-01-20,Email,0,0
2024-01-20,Direct,0,0
2024-01-20,Partner,1,400
2024-01-21,Organic,5,1100
2024-01-21,Google,2,440
2024-01-21,LinkedIn,9,3150
2024-01-21,Facebook,1,180
2024-01-21,Referral,3,900
2024-01-21,Email,0,0
2024-01-21,Direct,1,250
2024-01-21,Partner,3,1200
2024-01-22,Organic,4,880
2024-01-22,Google,4,880
2024-01-22,LinkedIn,8,2800
2024-01-22,Facebook,1,180
2024-01-22,Referral,3,900
2024-01-22,Email,0,0
2024-01-22,Direct,1,250
2024-01-22,Partner,1,400
2024-01-23,Organic,6,1320
2024-01-23,Google,3,660
2024-01-23,LinkedIn,5,1750
2024-01-23,Facebook,1,180
2024-01-23,Referral,5,1500
2024-01-23,Email,0,0
2024-01-23,Direct,1,250
2024-01-23,Partner,1,400
2024-01-24,Organic,5,1100
2024-01-24,Google,4,880
2024-01-24,LinkedIn,2,700
2024-01-24,Facebook,1,180
2024-01-24,Referral,7,2100
2024-01-24,Email,1,240
2024-01-24,Direct,0,0
2024-01-24,Partner,13,5200
2024-01-25,Organic,7,1540
2024-01-25,Google,4,880
2024-01-25,LinkedIn,6,2100
2024-01-25,Facebook,0,0
2024-01-25,Referral,1,300
2024-01-25,Email,3,720
2024-01-25,Direct,1,250
2024-01-25,Partner,6,2400
2024-01-26,Organic,7,1540
2024-01-26,Google,1,220
2024-01-26,LinkedIn,4,1400
2024-01-26,Facebook,0,0
2024-01-26,Referral,2,600
2024-01-26,Email,0,0
2024-01-26,Direct,1,250
2024-01-26,Partner,2,800
2024-01-27,Organic,8,1760
2024-01-27,Google,1,220
2024-01-27,LinkedIn,4,1400
2024-01-27,Facebook,1,180
2024-01-27,Referral,6,1800
2024-01-27,Email,0,0
2024-01-27,Direct,1,250
2024-01-27,Partner,1,400
2024-01-28,Organic,4,880
2024-01-28,Google,2,440
2024-01-28,LinkedIn,4,1400
2024-01-28,Facebook,1,180
2024-01-28,Referral,2,600
2024-01-28,Email,1,240
2024-01-28,Direct,1,250
2024-01-28,Partner,1,400
2024-01-29,Organic,8,1760
2024-01-29,Google,4,880
2024-01-29,LinkedIn,2,700
2024-01-29,Facebook,0,0
2024-01-29,Referral,7,2100
2024-01-29,Email,2,480
2024-01-29,Direct,2,500
2024-01-29,Partner,8,3200
2024-01-30,Organic,4,880
2024-01-30,Google,2,440
2024-01-30,LinkedIn,3,1050
2024-01-30,Facebook,1,180
2024-01-30,Referral,0,0
2024-01-30,Email,1,240
2024-01-30,Direct,1,250
2024-01-30,Partner,1,400
2024-01-31,Organic,5,1100
2024-01-31,Google,3,660
2024-01-31,LinkedIn,6,2100
2024-01-31,Facebook,0,0
2024-01-31,Referral,5,1500
2024-01-31,Email,2,480
2024-01-31,Direct,1,250
2024-01-31,Partner,3,1200
2024-02-01,Organic,6,1320
2024-02-01,Google,4,880
2024-02-01,LinkedIn,1,350
2024-02-01,Facebook,2,360
2024-02-01,Referral,7,2100
2024-02-01,Email,1,240
2024-02-01,Direct,1,250
2024-02-01,Partner,6,2400
2024-02-02,Organic,9,1980
2024-02-02,Google,3,660
2024-02-02,LinkedIn,2,700
2024-02-02,Facebook,1,180
2024-02-02,Referral,3,900
2024-02-02,Email,0,0
2024-02-02,Direct,1,250
2024-02-02,Partner,2,800
2024-02-03,Organic,6,1320
2024-02-03,Google,3,660
2024-02-03,LinkedIn,10,3500
2024-02-03,Facebook,1,180
2024-02-03,Referral,2,600
2024-02-03,Email,2,480
2024-02-03,Direct,0,0
2024-02-03,Partner,4,1600
2024-02-04,Organic,5,1100
2024-02-04,Google,3,660
2024-02-04,LinkedIn,5,1750
2024-02-04,Facebook,0,0
2024-02-04,Referral,7,2100
2024-02-04,Email,2,480
2024-02-04,Direct,1,250
2024-02-04,Partner,4,1600
2024-02-05,Organic,6,1320
2024-02-05,Google,4,880
2024-02-05,LinkedIn,4,1400
2024-02-05,Facebook,1,180
2024-02-05,Referral,2,600
2024-02-05,Email,0,0
2024-02-05,Direct,2,500
2024-02-05,Partner,1,400
2024-02-06,Organic,7,1540
2024-02-06,Google,2,440
2024-02-06,LinkedIn,4,1400
2024-02-06,Facebook,0,0
2024-02-06,Referral,0,0
2024-02-06,Email,0,0
2024-02-06,Direct,0,0
2024-02-06,Partner,6,2400
2024-02-07,Organic,5,1100
2024-02-07,Google,4,880
2024-02-07,LinkedIn,0,0
2024-02-07,Facebook,1,180
2024-02-07,Referral,3,900
2024-02-07,Email,0,0
2024-02-07,Direct,2,500
2024-02-07,Partner,8,3200
2024-02-08,Organic,7,1540
2024-02-08,Google,3,660
2024-02-08,LinkedIn,5,1750
2024-02-08,Facebook,1,180
2024-02-08,Referral,2,600
2024-02-08,Email,1,240
2024-02-08,Direct,1,250
2024-02-08,Partner,1,400
2024-02-09,Organic,7,1540
2024-02-09,Google,4,880
2024-02-09,LinkedIn,8,2800
2024-02-09,Facebook,1,180
2024-02-09,Referral,3,900
2024-02-09,Email,2,480
2024-02-09,Direct,1,250
2024-02-09,Partner,8,3200
2024-02-10,Organic,7,1540
2024-02-10,Google,3,660
2024-02-10,LinkedIn,1,350
2024-02-10,Facebook,1,180
2024-02-10,Referral,5,1500
2024-02-10,Email,2,480
2024-02-10,Direct,1,250
2024-02-10,Partner,6,2400
2024-02-11,Organic,5,1100
2024-02-11,Google,2,440
2024-02-11,LinkedIn,4,1400
2024-02-11,Facebook,1,180
2024-02-11,Referral,1,300
2024-02-11,Email,1,240
2024-02-11,Direct,0,0
2024-02-11,Partner,4,1600
2024-02-12,Organic,8,1760
2024-02-12,Google,3,660
2024-02-12,LinkedIn,7,2450
2024-02-12,Facebook,0,0
2024-02-12,Referral,3,900
2024-02-12,Email,2,480
2024-02-12,Direct,1,250
2024-02-12,Partner,2,800
2024-02-13,Organic,7,1540
2024-02-13,Google,3,660
2024-02-13,LinkedIn,2,700
2024-02-13,Facebook,1,180
2024-02-13,Referral,3,900
2024-02-13,Email,1,240
2024-02-13,Direct,0,0
2024-02-13,Partner,5,2000
2024-02-14,Organic,6,1320
2024-02-14,Google,3,660
2024-02-14,LinkedIn,0,0
2024-02-14,Facebook,0,0
2024-02-14,Referral,3,900
2024-02-14,Email,1,240
2024-02-14,Direct,1,250
2024-02-14,Partner,1,400
2024-02-15,Organic,7,1540
2024-02-15,Google,2,440
2024-02-15,LinkedIn,0,0
2024-02-15,Facebook,0,0
2024-02-15,Referral,3,900
2024-02-15,Email,3,720
2024-02-15,Direct,0,0
2024-02-15,Partner,1,400
2024-02-16,Organic,6,1320
2024-02-16,Google,4,880
2024-02-16,LinkedIn,3,1050
2024-02-16,Facebook,1,180
2024-02-16,Referral,0,0
2024-02-16,Email,1,240
2024-02-16,Direct,3,750
2024-02-16,Partner,4,1600
2024-02-17,Organic,7,1540
2024-02-17,Google,3,660
2024-02-17,LinkedIn,1,350
2024-02-17,Facebook,2,360
2024-02-17,Referral,6,1800
2024-02-17,Email,3,720
2024-02-17,Direct,1,250
2024-02-17,Partner,1,400
2024-02-18,Organic,7,1540
2024-02-18,Google,4,880
2024-02-18,LinkedIn,0,0
2024-02-18,Facebook,1,180
2024-02-18,Referral,1,300
2024-02-18,Email,2,480
2024-02-18,Direct,2,500
2024-02-18,Partner,1,400
2024-02-19,Organic,6,1320
2024-02-19,Google,3,660
2024-02-19,LinkedIn,0,0
2024-02-19,Facebook,1,180
2024-02-19,Referral,3,900
2024-02-19,Email,3,720
2024-02-19,Direct,0,0
2024-02-19,Partner,1,400
2024-02-20,Organic,5,1100
2024-02-20,Google,1,220
2024-02-20,LinkedIn,2,700
2024-02-20,Facebook,1,180
2024-02-20,Referral,4,1200
2024-02-20,Email,1,240
2024-02-20,Direct,0,0
2024-02-20,Partner,7,2800
2024-02-21,Organic,6,1320
2024-02-21,Google,4,880
2024-02-21,LinkedIn,1,350
2024-02-21,Facebook,1,180
2024-02-21,Referral,3,900
2024-02-21,Email,0,0
2024-02-21,Direct,2,500
2024-02-21,Partner,1,400
2024-02-22,Organic,5,1100
2024-02-22,Google,3,660
2024-02-22,LinkedIn,4,1400
2024-02-22,Facebook,1,180
2024-02-22,Referral,0,0
2024-02-22,Email,0,0
2024-02-22,Direct,1,250
2024-02-22,Partner,1,400
2024-02-23,Organic,6,1320
2024-02-23,Google,4,880
2024-02-23,LinkedIn,5,1750
2024-02-23,Facebook,0,0
2024-02-23,Referral,4,1200
2024-02-23,Email,1,240
2024-02-23,Direct,1,250
2024-02-23,Partner,4,1600
2024-02-24,Organic,7,1540
2024-02-24,Google,3,660
2024-02-24,LinkedIn,1,350
2024-02-24,Facebook,1,180
2024-02-24,Referral,6,1800
2024-02-24,Email,0,0
2024-02-24,Direct,1,250
2024-02-24,Partner,3,1200
2024-02-25,Organic,7,1540
2024-02-25,Google,4,880
2024-02-25,LinkedIn,4,1400
2024-02-25,Facebook,1,180
2024-02-25,Referral,1,300
2024-02-25,Email,0,0
2024-02-25,Direct,1,250
2024-02-25,Partner,5,2000
2024-02-26,Organic,6,1320
2024-02-26,Google,4,880
2024-02-26,LinkedIn,4,1400
2024-02-26,Facebook,0,0
2024-02-26,Referral,2,600
2024-02-26,Email,0,0
2024-02-26,Direct,1,250
2024-02-26,Partner,3,1200
2024-02-27,Organic,6,1320
2024-02-27,Google,4,880
2024-02-27,LinkedIn,2,700
2024-02-27,Facebook,0,0
2024-02-27,Referral,5,1500
2024-02-27,Email,2,480
2024-02-27,Direct,2,500
2024-02-27,Partner,4,1600
2024-02-28,Organic,5,1100
2024-02-28,Google,4,880
2024-02-28,LinkedIn,8,2800
2024-02-28,Facebook,2,360
2024-02-28,Referral,3,900
2024-02-28,Email,3,720
2024-02-28,Direct,1,250
2024-02-28,Partner,8,3200
2024-02-29,Organic,7,1540
2024-02-29,Google,4,880
2024-02-29,LinkedIn,7,2450
2024-02-29,Facebook,0,0
2024-02-29,Referral,3,900
2024-02-29,Email,0,0
2024-02-29,Direct,0,0
2024-02-29,Partner,4,1600
2024-03-01,Organic,6,1320
2024-03-01,Google,3,660
2024-03-01,LinkedIn,4,1400
2024-03-01,Facebook,1,180
2024-03-01,Referral,5,1500
2024-03-01,Email,0,0
2024-03-01,Direct,1,250
2024-03-01,Partner,1,400
2024-03-02,Organic,6,1320
2024-03-02,Google,3,660
2024-03-02,LinkedIn,2,700
2024-03-02,Facebook,0,0
2024-03-02,Referral,1,300
2024-03-02,Email,3,720
2024-03-02,Direct,1,250
2024-03-02,Partner,1,400
2024-03-03,Organic,5,1100
2024-03-03,Google,3,660
2024-03-03,LinkedIn,1,350
2024-03-03,Facebook,1,180
2024-03-03,Referral,1,300
2024-03-03,Email,0,0
2024-03-03,Direct,0,0
2024-03-03,Partner,4,1600
2024-03-04,Organic,6,1320
2024-03-04,Google,3,660
2024-03-04,LinkedIn,1,350
2024-03-04,Facebook,1,180
2024-03-04,Referral,1,300
2024-03-04,Email,2,480
2024-03-04,Direct,1,250
2024-03-04,Partner,1,400
2024-03-05,Organic,6,1320
2024-03-05,Google,3,660
2024-03-05,LinkedIn,4,1400
2024-03-05,Facebook,1,180
2024-03-05,Referral,4,1200
2024-03-05,Email,0,0
2024-03-05,Direct,1,250
2024-03-05,Partner,1,400
2024-03-06,Organic,5,1100
2024-03-06,Google,2,440
2024-03-06,LinkedIn,3,1050
2024-03-06,Facebook,1,180
2024-03-06,Referral,3,900
2024-03-06,Email,3,720
2024-03-06,Direct,0,0
2024-03-06,Partner,3,1200
2024-03-07,Organic,6,1320
2024-03-07,Google,5,1100
2024-03-07,LinkedIn,5,1750
2024-03-07,Facebook,1,180
2024-03-07,Referral,3,900
2024-03-07,Email,0,0
2024-03-07,Direct,0,0
2024-03-07,Partner,2,800
2024-03-08,Organic,7,1540
2024-03-08,Google,4,880
2024-03-08,LinkedIn,2,700
2024-03-08,Facebook,2,360
2024-03-08,Referral,0,0
2024-03-08,Email,0,0
2024-03-08,Direct,1,250
2024-03-08,Partner,8,3200
2024-03-09,Organic,6,1320
2024-03-09,Google,4,880
2024-03-09,LinkedIn,4,1400
2024-03-09,Facebook,1,180
2024-03-09,Referral,3,900
2024-03-09,Email,2,480
2024-03-09,Direct,2,500
2024-03-09,Partner,1,400
2024-03-10,Organic,6,1320
2024-03-10,Google,2,440
2024-03-10,LinkedIn,3,1050
2024-03-10,Facebook,1,180
2024-03-10,Referral,0,0
2024-03-10,Email,0,0
2024-03-10,Direct,0,0
2024-03-10,Partner,5,2000
2024-03-11,Organic,5,1100
2024-03-11,Google,4,880
2024-03-11,LinkedIn,3,1050
2024-03-11,Facebook,1,180
2024-03-11,Referral,4,1200
2024-03-11,Email,2,480
2024-03-11,Direct,1,250
2024-03-11,Partner,4,1600
2024-03-12,Organic,7,1540
2024-03-12,Google,4,880
2024-03-12,LinkedIn,3,1050
2024-03-12,Facebook,0,0
2024-03-12,Referral,3,900
2024-03-12,Email,2,480
2024-03-12,Direct,0,0
2024-03-12,Partner,2,800
2024-03-13,Organic,6,1320
2024-03-13,Google,2,440
2024-03-13,LinkedIn,4,1400
2024-03-13,Facebook,0,0
2024-03-13,Referral,6,1800
2024-03-13,Email,1,240
2024-03-13,Direct,0,0
2024-03-13,Partner,8,3200
2024-03-14,Organic,7,1540
2024-03-14,Google,1,220
2024-03-14,LinkedIn,7,2450
2024-03-14,Facebook,1,180
2024-03-14,Referral,0,0
2024-03-14,Email,1,240
2024-03-14,Direct,0,0
2024-03-14,Partner,1,400
2024-03-15,Organic,3,660
2024-03-15,Google,2,440
2024-03-15,LinkedIn,10,3500
2024-03-15,Facebook,0,0
2024-03-15,Referral,0,0
2024-03-15,Email,0,0
2024-03-15,Direct,2,500
2024-03-15,Partner,1,400
2024-03-16,Organic,6,1320
2024-03-16,Google,4,880
2024-03-16,LinkedIn,4,1400
2024-03-16,Facebook,0,0
2024-03-16,Referral,3,900
2024-03-16,Email,0,0
2024-03-16,Direct,2,500
2024-03-16,Partner,2,800
2024-03-17,Organic,4,880
2024-03-17,Google,6,1320
2024-03-17,LinkedIn,3,1050
2024-03-17,Facebook,1,180
2024-03-17,Referral,0,0
2024-03-17,Email,0,0
2024-03-17,Direct,2,500
2024-03-17,Partner,4,1600
2024-03-18,Organic,6,1320
2024-03-18,Google,3,660
2024-03-18,LinkedIn,5,1750
2024-03-18,Facebook,1,180
2024-03-18,Referral,1,300
2024-03-18,Email,0,0
2024-03-18,Direct,1,250
2024-03-18,Partner,4,1600
2024-03-19,Organic,7,1540
2024-03-19,Google,3,660
2024-03-19,LinkedIn,4,1400
2024-03-19,Facebook,1,180
2024-03-19,Referral,1,300
2024-03-19,Email,1,240
2024-03-19,Direct,1,250
2024-03-19,Partner,10,4000
2024-03-20,Organic,7,1540
2024-03-20,Google,3,660
2024-03-20,LinkedIn,2,700
2024-03-20,Facebook,0,0
2024-03-20,Referral,1,300
2024-03-20,Email,2,480
2024-03-20,Direct,1,250
2024-03-20,Partner,3,1200
2024-03-21,Organic,7,1540
2024-03-21,Google,3,660
2024-03-21,LinkedIn,2,700
2024-03-21,Facebook,1,180
2024-03-21,Referral,0,0
2024-03-21,Email,1,240
2024-03-21,Direct,2,500
2024-03-21,Partner,1,400
2024-03-22,Organic,7,1540
2024-03-22,Google,4,880
2024-03-22,LinkedIn,4,1400
2024-03-22,Facebook,1,180
2024-03-22,Referral,4,1200
2024-03-22,Email,2,480
2024-03-22,Direct,1,250
2024-03-22,Partner,1,400
2024-03-23,Organic,6,1320
2024-03-23,Google,3,660
2024-03-23,LinkedIn,2,700
2024-03-23,Facebook,1,180
2024-03-23,Referral,6,1800
2024-03-23,Email,0,0
2024-03-23,Direct,1,250
2024-03-23,Partner,2,800
2024-03-24,Organic,4,880
2024-03-24,Google,2,440
2024-03-24,LinkedIn,2,700
2024-03-24,Facebook,1,180
2024-03-24,Referral,0,0
2024-03-24,Email,0,0
2024-03-24,Direct,1,250
2024-03-24,Partner,1,400
2024-03-25,Organic,8,1760
2024-03-25,Google,2,440
2024-03-25,LinkedIn,1,350
2024-03-25,Facebook,2,360
2024-03-25,Referral,2,600
2024-03-25,Email,1,240
2024-03-25,Direct,1,250
2024-03-25,Partner,1,400
2024-03-26,Organic,6,1320
2024-03-26,Google,4,880
2024-03-26,LinkedIn,4,1400
2024-03-26,Facebook,1,180
2024-03-26,Referral,4,1200
2024-03-26,Email,1,240
2024-03-26,Direct,1,250
2024-03-26,Partner,1,400
2024-03-27,Organic,5,1100
2024-03-27,Google,4,880
2024-03-27,LinkedIn,9,3150
2024-03-27,Facebook,1,180
2024-03-27,Referral,1,300
2024-03-27,Email,3,720
2024-03-27,Direct,2,500
2024-03-27,Partner,1,400
2024-03-28,Organic,6,1320
2024-03-28,Google,2,440
2024-03-28,LinkedIn,2,700
2024-03-28,Facebook,0,0
2024-03-28,Referral,3,900
2024-03-28,Email,0,0
2024-03-28,Direct,1,250
2024-03-28,Partner,6,2400
2024-03-29,Organic,5,1100
2024-03-29,Google,2,440
2024-03-29,LinkedIn,2,700
2024-03-29,Facebook,1,180
2024-03-29,Referral,4,1200
2024-03-29,Email,0,0
2024-03-29,Direct,2,500
2024-03-29,Partner,1,400
2024-03-30,Organic,7,1540
2024-03-30,Google,4,880
2024-03-30,LinkedIn,0,0
2024-03-30,Facebook,1,180
2024-03-30,Referral,5,1500
2024-03-30,Email,0,0
2024-03-30,Direct,1,250
2024-03-30,Partner,1,400
2024-03-31,Organic,6,1320
2024-03-31,Google,3,660
2024-03-31,LinkedIn,2,700
2024-03-31,Facebook,1,180
2024-03-31,Referral,3,900
2024-03-31,Email,2,480
2024-03-31,Direct,1,250
2024-03-31,Partner,1,400
2024-04-01,Organic,9,1980
2024-04-01,Google,5,1100
2024-04-01,LinkedIn,1,350
2024-04-01,Facebook,1,180
2024-04-01,Referral,1,300
2024-04-01,Email,1,240
2024-04-01,Direct,0,0
2024-04-01,Partner,1,400
2024-04-02,Organic,6,1320
2024-04-02,Google,4,880
2024-04-02,LinkedIn,1,350
2024-04-02,Facebook,1,180
2024-04-02,Referral,4,1200
2024-04-02,Email,3,720
2024-04-02,Direct,1,250
2024-04-02,Partner,2,800
2024-04-03,Organic,6,1320
2024-04-03,Google,3,660
2024-04-03,LinkedIn,2,700
2024-04-03,Facebook,1,180
2024-04-03,Referral,6,1800
2024-04-03,Email,3,720
2024-04-03,Direct,1,250
2024-04-03,Partner,8,3200
2024-04-04,Organic,6,1320
2024-04-04,Google,3,660
2024-04-04,LinkedIn,0,0
2024-04-04,Facebook,1,180
2024-04-04,Referral,7,2100
2024-04-04,Email,1,240
2024-04-04,Direct,2,500
2024-04-04,Partner,1,400
2024-04-05,Organic,6,1320
2024-04-05,Google,3,660
2024-04-05,LinkedIn,3,1050
2024-04-05,Facebook,1,180
2024-04-05,Referral,2,600
2024-04-05,Email,2,480
2024-04-05,Direct,0,0
2024-04-05,Partner,2,800
2024-04-06,Organic,7,1540
2024-04-06,Google,3,660
2024-04-06,LinkedIn,3,1050
2024-04-06,Facebook,0,0
2024-04-06,Referral,2,600
2024-04-06,Email,1,240
2024-04-06,Direct,2,500
2024-04-06,Partner,2,800
2024-04-07,Organic,6,1320
2024-04-07,Google,4,880
2024-04-07,LinkedIn,2,700
2024-04-07,Facebook,1,180
2024-04-07,Referral,4,1200
2024-04-07,Email,0,0
2024-04-07,Direct,0,0
2024-04-07,Partner,1,400
2024-04-08,Organic,5,1100
2024-04-08,Google,4,880
2024-04-08,LinkedIn,4,1400
2024-04-08,Facebook,0,0
2024-04-08,Referral,1,300
2024-04-08,Email,1,240
2024-04-08,Direct,0,0
2024-04-08,Partner,7,2800
2024-04-09,Organic,3,660
2024-04-09,Google,3,660
2024-04-09,LinkedIn,1,350
2024-04-09,Facebook,1,180
2024-04-09,Referral,0,0
2024-04-09,Email,1,240
2024-04-09,Direct,2,500
2024-04-09,Partner,6,2400
2024-04-10,Organic,7,1540
2024-04-10,Google,3,660
2024-04-10,LinkedIn,1,350
2024-04-10,Facebook,1,180
2024-04-10,Referral,4,1200
2024-04-10,Email,0,0
2024-04-10,Direct,0,0
2024-04-10,Partner,2,800
2024-04-11,Organic,7,1540
2024-04-11,Google,3,660
2024-04-11,LinkedIn,4,1400
2024-04-11,Facebook,1,180
2024-04-11,Referral,4,1200
2024-04-11,Email,0,0
2024-04-11,Direct,2,500
2024-04-11,Partner,1,400
2024-04-12,Organic,5,1100
2024-04-12,Google,3,660
2024-04-12,LinkedIn,0,0
2024-04-12,Facebook,1,180
2024-04-12,Referral,5,1500
2024-04-12,Email,0,0
2024-04-12,Direct,0,0
2024-04-12,Partner,1,400
2024-04-13,Organic,7,1540
2024-04-13,Google,3,660
2024-04-13,LinkedIn,0,0
2024-04-13,Facebook,1,180
2024-04-13,Referral,4,1200
2024-04-13,Email,0,0
2024-04-13,Direct,1,250
2024-04-13,Partner,4,1600
2024-04-14,Organic,7,1540
2024-04-14,Google,3,660
2024-04-14,LinkedIn,1,350
2024-04-14,Facebook,1,180
2024-04-14,Referral,0,0
2024-04-14,Email,0,0
2024-04-14,Direct,2,500
2024-04-14,Partner,9,3600
2024-04-15,Organic,3,660
2024-04-15,Google,2,440
2024-04-15,LinkedIn,6,2100
2024-04-15,Facebook,1,180
2024-04-15,Referral,0,0
2024-04-15,Email,2,480
2024-04-15,Direct,1,250
2024-04-15,Partner,4,1600
2024-04-16,Organic,8,1760
2024-04-16,Google,3,660
2024-04-16,LinkedIn,4,1400
2024-04-16,Facebook,1,180
2024-04-16,Referral,1,300
2024-04-16,Email,0,0
2024-04-16,Direct,0,0
2024-04-16,Partner,6,2400
2024-04-17,Organic,7,1540
2024-04-17,Google,3,660
2024-04-17,LinkedIn,2,700
2024-04-17,Facebook,1,180
2024-04-17,Referral,6,1800
2024-04-17,Email,0,0
2024-04-17,Direct,0,0
2024-04-17,Partner,1,400
2024-04-18,Organic,6,1320
2024-04-18,Google,3,660
2024-04-18,LinkedIn,7,2450
2024-04-18,Facebook,1,180
2024-04-18,Referral,4,1200
2024-04-18,Email,1,240
2024-04-18,Direct,1,250
2024-04-18,Partner,1,400
2024-04-19,Organic,5,1100
2024-04-19,Google,3,660
2024-04-19,LinkedIn,3,1050
2024-04-19,Facebook,1,180
2024-04-19,Referral,7,2100
2024-04-19,Email,3,720
2024-04-19,Direct,0,0
2024-04-19,Partner,4,1600
2024-04-20,Organic,6,1320
2024-04-20,Google,4,880
2024-04-20,LinkedIn,2,700
2024-04-20,Facebook,1,180
2024-04-20,Referral,3,900
2024-04-20,Email,0,0
2024-04-20,Direct,1,250
2024-04-20,Partner,1,400
2024-04-21,Organic,6,1320
2024-04-21,Google,4,880
2024-04-21,LinkedIn,6,2100
2024-04-21,Facebook,1,180
2024-04-21,Referral,2,600
2024-04-21,Email,0,0
2024-04-21,Direct,0,0
2024-04-21,Partner,8,3200
2024-04-22,Organic,5,1100
2024-04-22,Google,3,660
