date,channel,trial_users
2024-01-14,Organic,31
2024-01-14,Google,18
2024-01-14,LinkedIn,15
2024-01-14,Facebook,7
2024-01-14,Referral,14
2024-01-14,Email,6
2024-01-14,Direct,3
2024-01-14,Partner,9
2024-01-15,Organic,17
2024-01-15,Google,18
2024-01-15,LinkedIn,6
2024-01-15,Facebook,2
2024-01-15,Referral,14
2024-01-15,Email,9
2024-01-15,Direct,4
2024-01-15,Partner,15
2024-01-16,Organic,21
2024-01-16,Google,11
2024-01-16,LinkedIn,4
2024-01-16,Facebook,5
2024-01-16,Referral,4
2024-01-16,Email,1
2024-01-16,Direct,2
2024-01-16,Partner,11
2024-01-17,Organic,27
2024-01-17,Google,14
2024-01-17,LinkedIn,22
2024-01-17,Facebook,4
2024-01-17,Referral,10
2024-01-17,Email,2
2024-01-17,Direct,2
2024-01-17,Partner,19
2024-01-18,Organic,28
2024-01-18,Google,19
2024-01-18,LinkedIn,20
2024-01-18,Facebook,6
2024-01-18,Referral,18
2024-01-18,Email,8
2024-01-18,Direct,1
2024-01-18,Partner,3
2024-01-19,Organic,17
2024-01-19,Google,14
2024-01-19,LinkedIn,10
2024-01-19,Facebook,5
2024-01-19,Referral,14
2024-01-19,Email,3
2024-01-19,Direct,3
2024-01-19,Partner,3
2024-01-20,Organic,22
2024-01-20,Google,11
2024-01-20,LinkedIn,18
2024-01-20,Facebook,4
2024-01-20,Referral,14
2024-01-20,Email,1
2024-01-20,Direct,2
2024-01-20,Partner,4
2024-01-21,Organic,21
2024-01-21,Google,10
2024-01-21,LinkedIn,26
2024-01-21,Facebook,9
2024-01-21,Referral,9
2024-01-21,Email,1
2024-01-21,Direct,6
2024-01-21,Partner,8
2024-01-22,Organic,17
2024-01-22,Google,16
2024-01-22,LinkedIn,25
2024-01-22,Facebook,6
2024-01-22,Referral,8
2024-01-22,Email,2
2024-01-22,Direct,7
2024-01-22,Partner,3
2024-01-23,Organic,24
2024-01-23,Google,14
2024-01-23,LinkedIn,17
2024-01-23,Facebook,7
2024-01-23,Referral,14
2024-01-23,Email,1
2024-01-23,Direct,5
2024-01-23,Partner,4
2024-01-24,Organic,18
2024-01-24,Google,18
2024-01-24,LinkedIn,7
2024-01-24,Facebook,7
2024-01-24,Referral,19
2024-01-24,Email,4
2024-01-24,Direct,1
2024-01-24,Partner,33
2024-01-25,Organic,27
2024-01-25,Google,19
2024-01-25,LinkedIn,18
2024-01-25,Facebook,4
2024-01-25,Referral,5
2024-01-25,Email,10
2024-01-25,Direct,4
2024-01-25,Partner,16
2024-01-26,Organic,27
2024-01-26,Google,6
2024-01-26,LinkedIn,14
2024-01-26,Facebook,2
2024-01-26,Referral,7
2024-01-26,Email,1
2024-01-26,Direct,5
2024-01-26,Partner,5
2024-01-27,Organic,29
2024-01-27,Google,5
2024-01-27,LinkedIn,12
2024-01-27,Facebook,5
2024-01-27,Referral,16
2024-01-27,Email,1
2024-01-27,Direct,6
2024-01-27,Partner,3
2024-01-28,Organic,17
2024-01-28,Google,11
2024-01-28,LinkedIn,14
2024-01-28,Facebook,8
2024-01-28,Referral,7
2024-01-28,Email,4
2024-01-28,Direct,5
2024-01-28,Partner,3
2024-01-29,Organic,32
2024-01-29,Google,16
2024-01-29,LinkedIn,7
2024-01-29,Facebook,4
2024-01-29,Referral,21
2024-01-29,Email,7
2024-01-29,Direct,9
2024-01-29,Partner,21
2024-01-30,Organic,16
2024-01-30,Google,11
2024-01-30,LinkedIn,9
2024-01-30,Facebook,8
2024-01-30,Referral,2
2024-01-30,Email,4
2024-01-30,Direct,5
2024-01-30,Partner,3
2024-01-31,Organic,20
2024-01-31,Google,14
2024-01-31,LinkedIn,18
2024-01-31,Facebook,4
2024-01-31,Referral,14
2024-01-31,Email,7
2024-01-31,Direct,7
2024-01-31,Partner,8
2024-02-01,Organic,23
2024-02-01,Google,16
2024-02-01,LinkedIn,4
2024-02-01,Facebook,11
2024-02-01,Referral,21
2024-02-01,Email,6
2024-02-01,Direct,4
2024-02-01,Partner,16
2024-02-02,Organic,34
2024-02-02,Google,12
2024-02-02,LinkedIn,8
2024-02-02,Facebook,5
2024-02-02,Referral,8
2024-02-02,Email,1
2024-02-02,Direct,4
2024-02-02,Partner,7
2024-02-03,Organic,22
2024-02-03,Google,12
2024-02-03,LinkedIn,30
2024-02-03,Facebook,7
2024-02-03,Referral,6
2024-02-03,Email,7
2024-02-03,Direct,3
2024-02-03,Partner,12
2024-02-04,Organic,20
2024-02-04,Google,14
2024-02-04,LinkedIn,16
2024-02-04,Facebook,3
2024-02-04,Referral,20
2024-02-04,Email,8
2024-02-04,Direct,7
2024-02-04,Partner,11
2024-02-05,Organic,23
2024-02-05,Google,16
2024-02-05,LinkedIn,14
2024-02-05,Facebook,7
2024-02-05,Referral,7
2024-02-05,Email,1
2024-02-05,Direct,8
2024-02-05,Partner,3
2024-02-06,Organic,28
2024-02-06,Google,10
2024-02-06,LinkedIn,14
2024-02-06,Facebook,4
2024-02-06,Referral,2
2024-02-06,Email,1
2024-02-06,Direct,0
2024-02-06,Partner,15
2024-02-07,Organic,18
2024-02-07,Google,19
2024-02-07,LinkedIn,2
2024-02-07,Facebook,9
2024-02-07,Referral,8
2024-02-07,Email,1
2024-02-07,Direct,9
2024-02-07,Partner,20
2024-02-08,Organic,27
2024-02-08,Google,12
2024-02-08,LinkedIn,17
2024-02-08,Facebook,7
2024-02-08,Referral,7
2024-02-08,Email,4
2024-02-08,Direct,4
2024-02-08,Partner,3
2024-02-09,Organic,27
2024-02-09,Google,16
2024-02-09,LinkedIn,24
2024-02-09,Facebook,7
2024-02-09,Referral,10
2024-02-09,Email,9
2024-02-09,Direct,6
2024-02-09,Partner,21
2024-02-10,Organic,26
2024-02-10,Google,15
2024-02-10,LinkedIn,3
2024-02-10,Facebook,7
2024-02-10,Referral,15
2024-02-10,Email,8
2024-02-10,Direct,5
2024-02-10,Partner,16
2024-02-11,Organic,18
2024-02-11,Google,9
2024-02-11,LinkedIn,13
2024-02-11,Facebook,5
2024-02-11,Referral,5
2024-02-11,Email,5
2024-02-11,Direct,3
2024-02-11,Partner,10
2024-02-12,Organic,31
2024-02-12,Google,12
2024-02-12,LinkedIn,22
2024-02-12,Facebook,2
2024-02-12,Referral,10
2024-02-12,Email,9
2024-02-12,Direct,6
2024-02-12,Partner,6
2024-02-13,Organic,27
2024-02-13,Google,15
2024-02-13,LinkedIn,6
2024-02-13,Facebook,7
2024-02-13,Referral,8
2024-02-13,Email,4
2024-02-13,Direct,1
2024-02-13,Partner,13
2024-02-14,Organic,23
2024-02-14,Google,15
2024-02-14,LinkedIn,2
2024-02-14,Facebook,4
2024-02-14,Referral,8
2024-02-14,Email,4
2024-02-14,Direct,7
2024-02-14,Partner,3
2024-02-15,Organic,26
2024-02-15,Google,10
2024-02-15,LinkedIn,2
2024-02-15,Facebook,2
2024-02-15,Referral,10
2024-02-15,Email,13
2024-02-15,Direct,0
2024-02-15,Partner,3
2024-02-16,Organic,24
2024-02-16,Google,16
2024-02-16,LinkedIn,10
2024-02-16,Facebook,5
2024-02-16,Referral,2
2024-02-16,Email,6
2024-02-16,Direct,12
2024-02-16,Partner,10
2024-02-17,Organic,27
2024-02-17,Google,12
2024-02-17,LinkedIn,5
2024-02-17,Facebook,10
2024-02-17,Referral,16
2024-02-17,Email,12
2024-02-17,Direct,6
2024-02-17,Partner,3
2024-02-18,Organic,25
2024-02-18,Google,18
2024-02-18,LinkedIn,2
2024-02-18,Facebook,9
2024-02-18,Referral,5
2024-02-18,Email,7
2024-02-18,Direct,8
2024-02-18,Partner,3
2024-02-19,Organic,24
2024-02-19,Google,12
2024-02-19,LinkedIn,2
2024-02-19,Facebook,5
2024-02-19,Referral,10
2024-02-19,Email,10
2024-02-19,Direct,1
2024-02-19,Partner,3
2024-02-20,Organic,19
2024-02-20,Google,7
2024-02-20,LinkedIn,8
2024-02-20,Facebook,7
2024-02-20,Referral,11
2024-02-20,Email,5
2024-02-20,Direct,1
2024-02-20,Partner,18
2024-02-21,Organic,23
2024-02-21,Google,17
2024-02-21,LinkedIn,5
2024-02-21,Facebook,7
2024-02-21,Referral,9
2024-02-21,Email,1
2024-02-21,Direct,8
2024-02-21,Partner,3
2024-02-22,Organic,18
2024-02-22,Google,13
2024-02-22,LinkedIn,12
2024-02-22,Facebook,6
2024-02-22,Referral,2
2024-02-22,Email,3
2024-02-22,Direct,4
2024-02-22,Partner,3
2024-02-23,Organic,23
2024-02-23,Google,16
2024-02-23,LinkedIn,17
2024-02-23,Facebook,3
2024-02-23,Referral,12
2024-02-23,Email,5
2024-02-23,Direct,6
2024-02-23,Partner,11
2024-02-24,Organic,26
2024-02-24,Google,12
2024-02-24,LinkedIn,5
2024-02-24,Facebook,8
2024-02-24,Referral,17
2024-02-24,Email,1
2024-02-24,Direct,5
2024-02-24,Partner,9
2024-02-25,Organic,26
2024-02-25,Google,18
2024-02-25,LinkedIn,12
2024-02-25,Facebook,6
2024-02-25,Referral,3
2024-02-25,Email,1
2024-02-25,Direct,5
2024-02-25,Partner,14
2024-02-26,Organic,22
2024-02-26,Google,19
2024-02-26,LinkedIn,13
2024-02-26,Facebook,2
2024-02-26,Referral,7
2024-02-26,Email,1
2024-02-26,Direct,7
2024-02-26,Partner,9
2024-02-27,Organic,22
2024-02-27,Google,16
2024-02-27,LinkedIn,7
2024-02-27,Facebook,3
2024-02-27,Referral,14
2024-02-27,Email,9
2024-02-27,Direct,8
2024-02-27,Partner,12
2024-02-28,Organic,18
2024-02-28,Google,18
2024-02-28,LinkedIn,23
2024-02-28,Facebook,10
2024-02-28,Referral,9
2024-02-28,Email,10
2024-02-28,Direct,4
2024-02-28,Partner,20
2024-02-29,Organic,27
2024-02-29,Google,17
2024-02-29,LinkedIn,20
2024-02-29,Facebook,2
2024-02-29,Referral,10
2024-02-29,Email,1
2024-02-29,Direct,3
2024-02-29,Partner,10
2024-03-01,Organic,24
2024-03-01,Google,14
2024-03-01,LinkedIn,14
2024-03-01,Facebook,6
2024-03-01,Referral,15
2024-03-01,Email,1
2024-03-01,Direct,4
2024-03-01,Partner,3
2024-03-02,Organic,23
2024-03-02,Google,12
2024-03-02,LinkedIn,7
2024-03-02,Facebook,3
2024-03-02,Referral,5
2024-03-02,Email,12
2024-03-02,Direct,7
2024-03-02,Partner,3
2024-03-03,Organic,19
2024-03-03,Google,13
2024-03-03,LinkedIn,5
2024-03-03,Facebook,8
2024-03-03,Referral,5
2024-03-03,Email,1
2024-03-03,Direct,1
2024-03-03,Partner,10
2024-03-04,Organic,23
2024-03-04,Google,12
2024-03-04,LinkedIn,5
2024-03-04,Facebook,5
2024-03-04,Referral,4
2024-03-04,Email,9
2024-03-04,Direct,5
2024-03-04,Partner,3
2024-03-05,Organic,23
2024-03-05,Google,13
2024-03-05,LinkedIn,13
2024-03-05,Facebook,6
2024-03-05,Referral,11
2024-03-05,Email,1
2024-03-05,Direct,6
2024-03-05,Partner,4
2024-03-06,Organic,19
2024-03-06,Google,11
2024-03-06,LinkedIn,9
2024-03-06,Facebook,5
2024-03-06,Referral,8
2024-03-06,Email,10
2024-03-06,Direct,3
2024-03-06,Partner,9
2024-03-07,Organic,24
2024-03-07,Google,20
2024-03-07,LinkedIn,17
2024-03-07,Facebook,7
2024-03-07,Referral,8
2024-03-07,Email,1
2024-03-07,Direct,2
2024-03-07,Partner,6
2024-03-08,Organic,27
2024-03-08,Google,16
2024-03-08,LinkedIn,6
2024-03-08,Facebook,10
2024-03-08,Referral,2
2024-03-08,Email,3
2024-03-08,Direct,7
2024-03-08,Partner,22
2024-03-09,Organic,24
2024-03-09,Google,18
2024-03-09,LinkedIn,13
2024-03-09,Facebook,7
2024-03-09,Referral,9
2024-03-09,Email,8
2024-03-09,Direct,8
2024-03-09,Partner,4
2024-03-10,Organic,23
2024-03-10,Google,8
2024-03-10,LinkedIn,9
2024-03-10,Facebook,6
2024-03-10,Referral,2
2024-03-10,Email,1
2024-03-10,Direct,3
2024-03-10,Partner,13
2024-03-11,Organic,21
2024-03-11,Google,17
2024-03-11,LinkedIn,9
2024-03-11,Facebook,6
2024-03-11,Referral,11
2024-03-11,Email,8
2024-03-11,Direct,6
2024-03-11,Partner,10
2024-03-12,Organic,28
2024-03-12,Google,16
2024-03-12,LinkedIn,9
2024-03-12,Facebook,4
2024-03-12,Referral,10
2024-03-12,Email,8
2024-03-12,Direct,1
2024-03-12,Partner,7
2024-03-13,Organic,23
2024-03-13,Google,9
2024-03-13,LinkedIn,12
2024-03-13,Facebook,4
2024-03-13,Referral,18
2024-03-13,Email,6
2024-03-13,Direct,1
2024-03-13,Partner,20
2024-03-14,Organic,25
2024-03-14,Google,7
2024-03-14,LinkedIn,20
2024-03-14,Facebook,6
2024-03-14,Referral,2
2024-03-14,Email,4
2024-03-14,Direct,2
2024-03-14,Partner,3
2024-03-15,Organic,13
2024-03-15,Google,10
2024-03-15,LinkedIn,31
2024-03-15,Facebook,2
2024-03-15,Referral,2
2024-03-15,Email,1
2024-03-15,Direct,10
2024-03-15,Partner,3
2024-03-16,Organic,23
2024-03-16,Google,19
2024-03-16,LinkedIn,13
2024-03-16,Facebook,3
2024-03-16,Referral,10
2024-03-16,Email,2
2024-03-16,Direct,8
2024-03-16,Partner,6
2024-03-17,Organic,15
2024-03-17,Google,24
2024-03-17,LinkedIn,11
2024-03-17,Facebook,9
2024-03-17,Referral,2
2024-03-17,Email,1
2024-03-17,Direct,11
2024-03-17,Partner,10
2024-03-18,Organic,23
2024-03-18,Google,13
2024-03-18,LinkedIn,15
2024-03-18,Facebook,7
2024-03-18,Referral,5
2024-03-18,Email,3
2024-03-18,Direct,4
2024-03-18,Partner,12
2024-03-19,Organic,26
2024-03-19,Google,12
2024-03-19,LinkedIn,12
2024-03-19,Facebook,5
2024-03-19,Referral,4
2024-03-19,Email,6
2024-03-19,Direct,6
2024-03-19,Partner,27
2024-03-20,Organic,25
2024-03-20,Google,12
2024-03-20,LinkedIn,6
2024-03-20,Facebook,2
2024-03-20,Referral,4
2024-03-20,Email,9
2024-03-20,Direct,5
2024-03-20,Partner,8
2024-03-21,Organic,27
2024-03-21,Google,14
2024-03-21,LinkedIn,6
2024-03-21,Facebook,5
2024-03-21,Referral,2
2024-03-21,Email,4
2024-03-21,Direct,8
2024-03-21,Partner,4
2024-03-22,Organic,26
2024-03-22,Google,16
2024-03-22,LinkedIn,12
2024-03-22,Facebook,5
2024-03-22,Referral,12
2024-03-22,Email,7
2024-03-22,Direct,4
2024-03-22,Partner,3
2024-03-23,Organic,23
2024-03-23,Google,12
2024-03-23,LinkedIn,6
2024-03-23,Facebook,6
2024-03-23,Referral,17
2024-03-23,Email,1
2024-03-23,Direct,7
2024-03-23,Partner,7
2024-03-24,Organic,17
2024-03-24,Google,11
2024-03-24,LinkedIn,6
2024-03-24,Facebook,5
2024-03-24,Referral,2
2024-03-24,Email,1
2024-03-24,Direct,5
2024-03-24,Partner,3
2024-03-25,Organic,29
2024-03-25,Google,11
2024-03-25,LinkedIn,5
2024-03-25,Facebook,10
2024-03-25,Referral,6
2024-03-25,Email,5
2024-03-25,Direct,4
2024-03-25,Partner,3
2024-03-26,Organic,22
2024-03-26,Google,16
2024-03-26,LinkedIn,12
2024-03-26,Facebook,6
2024-03-26,Referral,12
2024-03-26,Email,4
2024-03-26,Direct,5
2024-03-26,Partner,3
2024-03-27,Organic,18
2024-03-27,Google,16
2024-03-27,LinkedIn,26
2024-03-27,Facebook,5
2024-03-27,Referral,5
2024-03-27,Email,10
2024-03-27,Direct,8
2024-03-27,Partner,3
2024-03-28,Organic,24
2024-03-28,Google,11
2024-03-28,LinkedIn,8
2024-03-28,Facebook,3
2024-03-28,Referral,8
2024-03-28,Email,1
2024-03-28,Direct,4
2024-03-28,Partner,15
2024-03-29,Organic,18
2024-03-29,Google,11
2024-03-29,LinkedIn,6
2024-03-29,Facebook,8
2024-03-29,Referral,13
2024-03-29,Email,1
2024-03-29,Direct,8
2024-03-29,Partner,3
2024-03-30,Organic,27
2024-03-30,Google,16
2024-03-30,LinkedIn,2
2024-03-30,Facebook,6
2024-03-30,Referral,14
2024-03-30,Email,1
2024-03-30,Direct,4
2024-03-30,Partner,3
2024-03-31,Organic,22
2024-03-31,Google,15
2024-03-31,LinkedIn,8
2024-03-31,Facebook,5
2024-03-31,Referral,9
2024-03-31,Email,7
2024-03-31,Direct,5
2024-03-31,Partner,4
2024-04-01,Organic,33
2024-04-01,Google,20
2024-04-01,LinkedIn,4
2024-04-01,Facebook,5
2024-04-01,Referral,4
2024-04-01,Email,4
2024-04-01,Direct,2
2024-04-01,Partner,3
2024-04-02,Organic,23
2024-04-02,Google,16
2024-04-02,LinkedIn,3
2024-04-02,Facebook,8
2024-04-02,Referral,12
2024-04-02,Email,10
2024-04-02,Direct,5
2024-04-02,Partner,7
2024-04-03,Organic,24
2024-04-03,Google,12
2024-04-03,LinkedIn,6
2024-04-03,Facebook,6
2024-04-03,Referral,18
2024-04-03,Email,10
2024-04-03,Direct,7
2024-04-03,Partner,21
2024-04-04,Organic,23
2024-04-04,Google,15
2024-04-04,LinkedIn,2
2024-04-04,Facebook,7
2024-04-04,Referral,19
2024-04-04,Email,4
2024-04-04,Direct,9
2024-04-04,Partner,3
2024-04-05,Organic,22
2024-04-05,Google,15
2024-04-05,LinkedIn,9
2024-04-05,Facebook,7
2024-04-05,Referral,7
2024-04-05,Email,8
2024-04-05,Direct,2
2024-04-05,Partner,7
2024-04-06,Organic,27
2024-04-06,Google,13
2024-04-06,LinkedIn,11
2024-04-06,Facebook,0
2024-04-06,Referral,6
2024-04-06,Email,4
2024-04-06,Direct,9
2024-04-06,Partner,7
2024-04-07,Organic,23
2024-04-07,Google,16
2024-04-07,LinkedIn,7
2024-04-07,Facebook,7
2024-04-07,Referral,13
2024-04-07,Email,3
2024-04-07,Direct,3
2024-04-07,Partner,3
2024-04-08,Organic,21
2024-04-08,Google,19
2024-04-08,LinkedIn,14
2024-04-08,Facebook,2
2024-04-08,Referral,3
2024-04-08,Email,5
2024-04-08,Direct,0
2024-04-08,Partner,19
2024-04-09,Organic,13
2024-04-09,Google,14
2024-04-09,LinkedIn,4
2024-04-09,Facebook,5
2024-04-09,Referral,2
2024-04-09,Email,5
2024-04-09,Direct,8
2024-04-09,Partner,15
2024-04-10,Organic,25
2024-04-10,Google,15
2024-04-10,LinkedIn,5
2024-04-10,Facebook,5
2024-04-10,Referral,13
2024-04-10,Email,1
2024-04-10,Direct,2
2024-04-10,Partner,6
2024-04-11,Organic,26
2024-04-11,Google,13
2024-04-11,LinkedIn,13
2024-04-11,Facebook,9
2024-04-11,Referral,13
2024-04-11,Email,1
2024-04-11,Direct,9
2024-04-11,Partner,3
2024-04-12,Organic,20
2024-04-12,Google,12
2024-04-12,LinkedIn,2
2024-04-12,Facebook,6
2024-04-12,Referral,15
2024-04-12,Email,1
2024-04-12,Direct,0
2024-04-12,Partner,4
2024-04-13,Organic,25
2024-04-13,Google,14
2024-04-13,LinkedIn,2
2024-04-13,Facebook,5
2024-04-13,Referral,13
2024-04-13,Email,3
2024-04-13,Direct,6
2024-04-13,Partner,12
2024-04-14,Organic,28
2024-04-14,Google,12
2024-04-14,LinkedIn,3
2024-04-14,Facebook,8
2024-04-14,Referral,2
2024-04-14,Email,1
2024-04-14,Direct,9
2024-04-14,Partner,24
2024-04-15,Organic,13
2024-04-15,Google,10
2024-04-15,LinkedIn,18
2024-04-15,Facebook,5
2024-04-15,Referral,2
2024-04-15,Email,8
2024-04-15,Direct,7
2024-04-15,Partner,11
2024-04-16,Organic,31
2024-04-16,Google,12
2024-04-16,LinkedIn,14
2024-04-16,Facebook,8
2024-04-16,Referral,4
2024-04-16,Email,3
2024-04-16,Direct,2
2024-04-16,Partner,15
2024-04-17,Organic,28
2024-04-17,Google,14
2024-04-17,LinkedIn,6
2024-04-17,Facebook,5
2024-04-17,Referral,16
2024-04-17,Email,1
2024-04-17,Direct,3
2024-04-17,Partner,3
2024-04-18,Organic,22
2024-04-18,Google,15
2024-04-18,LinkedIn,22
2024-04-18,Facebook,5
2024-04-18,Referral,11
2024-04-18,Email,4
2024-04-18,Direct,6
2024-04-18,Partner,3
2024-04-19,Organic,19
2024-04-19,Google,12
2024-04-19,LinkedIn,9
2024-04-19,Facebook,8
2024-04-19,Referral,21
2024-04-19,Email,12
2024-04-19,Direct,2
2024-04-19,Partner,10
2024-04-20,Organic,24
2024-04-20,Google,17
2024-04-20,LinkedIn,6
2024-04-20,Facebook,5
2024-04-20,Referral,10
2024-04-20,Email,1
2024-04-20,Direct,4
2024-04-20,Partner,3
2024-04-21,Organic,24
2024-04-21,Google,16
2024-04-21,LinkedIn,18
2024-04-21,Facebook,9
2024-04-21,Referral,6
2024-04-21,Email,1
2024-04-21,Direct,0
2024-04-21,Partner,22
2024-04-22,Organic,21
2024-04-22,Google,15
2024-04-22,LinkedIn,7
2024-04-22,Facebook,7
2024-04-22,Referral,16
2024-04-22,Email,1
2024-04-22,Direct,0
2024-04-22,Partner,3
2024-04-23,Organic,25
2024-04-23,Google,16
2024-04-23,LinkedIn,18
2024-04-23,Facebook,9
2024-04-23,Referral,4
2024-04-23,Email,1
2024-04-23,Direct,6
2024-04-23,Partner,3
2024-04-24,Organic,25
2024-04-24,Google,16
2024-04-24,LinkedIn,4
2024-04-24,Facebook,9
2024-04-24,Referral,19
2024-04-24,Email,2
2024-04-24,Direct,0
2024-04-24,Partner,9
2024-04-25,Organic,17
2024-04-25,Google,10
2024-04-25,LinkedIn,25
2024-04-25,Facebook,7
2024-04-25,Referral,8
2024-04-25,Email,4
2024-04-25,Direct,5
2024-04-25,Partner,9
2024-04-26,Organic,27
2024-04-26,Google,16
2024-04-26,LinkedIn,2
2024-04-26,Facebook,4
2024-04-26,Referral,2
2024-04-26,Email,7
2024-04-26,Direct,0
2024-04-26,Partner,3
2024-04-27,Organic,22
2024-04-27,Google,16
2024-04-27,LinkedIn,7
2024-04-27,Facebook,6
2024-04-27,Referral,10
2024-04-27,Email,4
2024-04-27,Direct,7
2024-04-27,Partner,19
2024-04-28,Organic,27
2024-04-28,Google,14
2024-04-28,LinkedIn,10
2024-04-28,Facebook,4
2024-04-28,Referral,2
2024-04-28,Email,5
2024-04-28,Direct,5
2024-04-28,Partner,13
2024-04-29,Organic,30
2024-04-29,Google,12
2024-04-29,LinkedIn,2
2024-04-29,Facebook,3
2024-04-29,Referral,13
2024-04-29,Email,1
2024-04-29,Direct,1
2024-04-29,Partner,3
2024-04-30,Organic,30
2024-04-30,Google,13
2024-04-30,LinkedIn,14
2024-04-30,Facebook,3
2024-04-30,Referral,13
2024-04-30,Email,8
2024-04-30,Direct,4
2024-04-30,Partner,6
2024-05-01,Organic,22
2024-05-01,Google,9
2024-05-01,LinkedIn,3
2024-05-01,Facebook,4
2024-05-01,Referral,24
2024-05-01,Email,10
2024-05-01,Direct,2
2024-05-01,Partner,3
2024-05-02,Organic,18
2024-05-02,Google,17
2024-05-02,LinkedIn,3
2024-05-02,Facebook,2
2024-05-02,Referral,19
2024-05-02,Email,6
2024-05-02,Direct,8
2024-05-02,Partner,3
2024-05-03,Organic,27
2024-05-03,Google,15
2024-05-03,LinkedIn,22
2024-05-03,Facebook,3
2024-05-03,Referral,14
2024-05-03,Email,13
2024-05-03,Direct,0
2024-05-03,Partner,3
2024-05-04,Organic,30
2024-05-04,Google,15
2024-05-04,LinkedIn,20
2024-05-04,Facebook,7
2024-05-04,Referral,15
2024-05-04,Email,6
2024-05-04,Direct,0
2024-05-04,Partner,23
2024-05-05,Organic,29
2024-05-05,Google,16
2024-05-05,LinkedIn,14
2024-05-05,Facebook,3
2024-05-05,Referral,9
2024-05-05,Email,10
2024-05-05,Direct,5
2024-05-05,Partner,15
2024-05-06,Organic,23
2024-05-06,Google,16
2024-05-06,LinkedIn,12
2024-05-06,Facebook,6
2024-05-06,Referral,4
2024-05-06,Email,1
2024-05-06,Direct,2
2024-05-06,Partner,3
2024-05-07,Organic,18
2024-05-07,Google,17
2024-05-07,LinkedIn,21
2024-05-07,Facebook,6
2024-05-07,Referral,5
2024-05-07,Email,3
2024-05-07,Direct,4
2024-05-07,Partner,15
2024-05-08,Organic,20
2024-05-08,Google,18
2024-05-08,LinkedIn,9
2024-05-08,Facebook,8
2024-05-08,Referral,22
2024-05-08,Email,1
2024-05-08,Direct,12
2024-05-08,Partner,3
2024-05-09,Organic,28
2024-05-09,Google,16
2024-05-09,LinkedIn,12
2024-05-09,Facebook,7
2024-05-09,Referral,12
2024-05-09,Email,13
2024-05-09,Direct,3
2024-05-09,Partner,15
2024-05-10,Organic,24
2024-05-10,Google,11
2024-05-10,LinkedIn,2
2024-05-10,Facebook,4
2024-05-10,Referral,21
2024-05-10,Email,1
2024-05-10,Direct,4
2024-05-10,Partner,3
2024-05-11,Organic,23
2024-05-11,Google,14
2024-05-11,LinkedIn,4
2024-05-11,Facebook,3
2024-05-11,Referral,8
2024-05-11,Email,1
2024-05-11,Direct,0
