date,channel,device,country,visitors
2024-01-12,Facebook,Mobile,UK,604
2024-01-12,Referral,Desktop,Germany,315
2024-01-12,Email,Desktop,UK,309
2024-01-12,Direct,Desktop,USA,50
2024-01-12,Partner,Mobile,India,287
2024-01-13,Organic,Mobile,Germany,1192
2024-01-13,Google,Tablet,Germany,653
2024-01-13,LinkedIn,Tablet,Germany,322
2024-01-13,Facebook,Mobile,Australia,343
2024-01-13,Referral,Desktop,India,354
2024-01-13,Email,Desktop,India,50
2024-01-13,Direct,Desktop,India,342
2024-01-13,Partner,Desktop,Germany,73
2024-01-14,Organic,Desktop,India,1186
2024-01-14,Google,Desktop,Australia,819
2024-01-14,LinkedIn,Desktop,USA,333
2024-01-14,Facebook,Mobile,UK,544
2024-01-14,Referral,Mobile,Australia,373
2024-01-14,Email,Desktop,UK,224
2024-01-14,Direct,Tablet,Australia,169
2024-01-14,Partner,Mobile,India,154
2024-01-15,Organic,Desktop,Germany,638
2024-01-15,Google,Desktop,USA,820
2024-01-15,LinkedIn,Desktop,USA,131
2024-01-15,Facebook,Mobile,India,168
2024-01-15,Referral,Desktop,Germany,366
2024-01-15,Email,Mobile,Australia,320
2024-01-15,Direct,Desktop,UK,250
2024-01-15,Partner,Desktop,India,267
2024-01-16,Organic,Mobile,UK,794
2024-01-16,Google,Desktop,Germany,514
2024-01-16,LinkedIn,Desktop,Germany,108
2024-01-16,Facebook,Desktop,USA,414
2024-01-16,Referral,Desktop,India,120
2024-01-16,Email,Desktop,Australia,50
2024-01-16,Direct,Mobile,USA,105
2024-01-16,Partner,Mobile,India,193
2024-01-17,Organic,Desktop,India,1005
2024-01-17,Google,Desktop,India,640
2024-01-17,LinkedIn,Mobile,India,445
2024-01-17,Facebook,Desktop,UK,348
2024-01-17,Referral,Mobile,UK,272
2024-01-17,Email,Mobile,Australia,77
2024-01-17,Direct,Desktop,India,143
2024-01-17,Partner,Mobile,India,323
2024-01-18,Organic,Desktop,USA,1059
2024-01-18,Google,Desktop,UK,891
2024-01-18,LinkedIn,Mobile,UK,416
2024-01-18,Facebook,Desktop,Australia,460
2024-01-18,Referral,Desktop,Germany,463
2024-01-18,Email,Mobile,USA,281
2024-01-18,Direct,Desktop,India,62
2024-01-18,Partner,Desktop,USA,50
2024-01-19,Organic,Tablet,Australia,644
2024-01-19,Google,Desktop,UK,651
2024-01-19,LinkedIn,Desktop,UK,221
2024-01-19,Facebook,Mobile,Germany,438
2024-01-19,Referral,Mobile,USA,352
2024-01-19,Email,Desktop,Australia,106
2024-01-19,Direct,Desktop,India,160
2024-01-19,Partner,Desktop,USA,50
2024-01-20,Organic,Desktop,India,843
2024-01-20,Google,Desktop,UK,537
2024-01-20,LinkedIn,Desktop,USA,367
2024-01-20,Facebook,Desktop,USA,356
2024-01-20,Referral,Desktop,Germany,367
2024-01-20,Email,Desktop,UK,50
2024-01-20,Direct,Desktop,India,109
2024-01-20,Partner,Desktop,Germany,85
2024-01-21,Organic,Desktop,India,794
2024-01-21,Google,Desktop,USA,481
2024-01-21,LinkedIn,Desktop,Australia,552
2024-01-21,Facebook,Mobile,USA,658
2024-01-21,Referral,Mobile,Australia,238
2024-01-21,Email,Desktop,Germany,50
2024-01-21,Direct,Tablet,UK,359
2024-01-21,Partner,Mobile,UK,141
2024-01-22,Organic,Desktop,Germany,649
2024-01-22,Google,Desktop,India,741
2024-01-22,LinkedIn,Desktop,UK,517
2024-01-22,Facebook,Desktop,UK,489
2024-01-22,Referral,Desktop,Germany,217
2024-01-22,Email,Mobile,Germany,88
2024-01-22,Direct,Mobile,UK,365
2024-01-22,Partner,Mobile,Germany,50
2024-01-23,Organic,Desktop,Germany,925
2024-01-23,Google,Desktop,India,673
2024-01-23,LinkedIn,Desktop,UK,354
2024-01-23,Facebook,Desktop,Germany,545
2024-01-23,Referral,Desktop,UK,363
2024-01-23,Email,Desktop,India,50
2024-01-23,Direct,Desktop,UK,289
2024-01-23,Partner,Desktop,UK,87
2024-01-24,Organic,Mobile,Australia,678
2024-01-24,Google,Mobile,UK,831
2024-01-24,LinkedIn,Desktop,India,166
2024-01-24,Facebook,Mobile,USA,510
2024-01-24,Referral,Desktop,Germany,486
2024-01-24,Email,Mobile,Australia,144
2024-01-24,Direct,Mobile,UK,87
2024-01-24,Partner,Mobile,Germany,566
2024-01-25,Organic,Tablet,USA,1007
2024-01-25,Google,Desktop,Australia,895
2024-01-25,LinkedIn,Desktop,Germany,370
2024-01-25,Facebook,Desktop,USA,309
2024-01-25,Referral,Desktop,India,149
2024-01-25,Email,Desktop,Australia,345
2024-01-25,Direct,Desktop,India,248
2024-01-25,Partner,Desktop,India,284
2024-01-26,Organic,Desktop,USA,1027
2024-01-26,Google,Mobile,UK,311
2024-01-26,LinkedIn,Desktop,India,310
2024-01-26,Facebook,Mobile,USA,220
2024-01-26,Referral,Tablet,India,199
2024-01-26,Email,Desktop,UK,50
2024-01-26,Direct,Desktop,Australia,269
2024-01-26,Partner,Mobile,UK,98
2024-01-27,Organic,Desktop,UK,1108
2024-01-27,Google,Desktop,Australia,261
2024-01-27,LinkedIn,Mobile,USA,256
2024-01-27,Facebook,Desktop,Germany,422
2024-01-27,Referral,Desktop,Australia,423
2024-01-27,Email,Desktop,Australia,50
2024-01-27,Direct,Desktop,UK,315
2024-01-27,Partner,Mobile,Australia,50
2024-01-28,Organic,Mobile,India,646
2024-01-28,Google,Desktop,Australia,524
2024-01-28,LinkedIn,Mobile,Australia,289
2024-01-28,Facebook,Desktop,USA,580
2024-01-28,Referral,Desktop,India,190
2024-01-28,Email,Desktop,Germany,135
2024-01-28,Direct,Desktop,India,264
2024-01-28,Partner,Desktop,India,50
2024-01-29,Organic,Desktop,UK,1223
2024-01-29,Google,Desktop,Australia,760
2024-01-29,LinkedIn,Mobile,Australia,159
2024-01-29,Facebook,Desktop,USA,333
2024-01-29,Referral,Desktop,USA,540
2024-01-29,Email,Desktop,UK,257
2024-01-29,Direct,Desktop,Australia,483
2024-01-29,Partner,Desktop,USA,355
2024-01-30,Organic,Desktop,Australia,621
2024-01-30,Google,Desktop,Australia,511
2024-01-30,LinkedIn,Mobile,UK,206
2024-01-30,Facebook,Desktop,Australia,631
2024-01-30,Referral,Desktop,Germany,50
2024-01-30,Email,Desktop,Australia,131
2024-01-30,Direct,Desktop,India,296
2024-01-30,Partner,Mobile,USA,50
2024-01-31,Organic,Desktop,UK,780
2024-01-31,Google,Mobile,UK,648
2024-01-31,LinkedIn,Mobile,India,387
2024-01-31,Facebook,Desktop,UK,360
2024-01-31,Referral,Mobile,India,362
2024-01-31,Email,Mobile,UK,242
2024-01-31,Direct,Mobile,India,362
2024-01-31,Partner,Desktop,UK,140
2024-02-01,Organic,Mobile,USA,894
2024-02-01,Google,Mobile,UK,762
2024-02-01,LinkedIn,Desktop,USA,111
2024-02-01,Facebook,Desktop,India,861
2024-02-01,Referral,Desktop,Australia,546
2024-02-01,Email,Desktop,UK,222
2024-02-01,Direct,Mobile,Germany,252
2024-02-01,Partner,Desktop,Australia,279
2024-02-02,Organic,Desktop,India,1289
2024-02-02,Google,Desktop,India,562
2024-02-02,LinkedIn,Desktop,Germany,176
2024-02-02,Facebook,Mobile,India,407
2024-02-02,Referral,Tablet,Australia,203
2024-02-02,Email,Desktop,UK,50
2024-02-02,Direct,Mobile,Australia,225
2024-02-02,Partner,Desktop,UK,128
2024-02-03,Organic,Mobile,Australia,822
2024-02-03,Google,Tablet,India,570
2024-02-03,LinkedIn,Desktop,UK,615
2024-02-03,Facebook,Mobile,UK,520
2024-02-03,Referral,Desktop,India,157
2024-02-03,Email,Mobile,UK,244
2024-02-03,Direct,Mobile,India,185
2024-02-03,Partner,Desktop,India,207
2024-02-04,Organic,Desktop,UK,772
2024-02-04,Google,Desktop,Australia,675
2024-02-04,LinkedIn,Mobile,Australia,344
2024-02-04,Facebook,Mobile,USA,290
2024-02-04,Referral,Mobile,India,519
2024-02-04,Email,Mobile,Germany,273
2024-02-04,Direct,Mobile,UK,363
2024-02-04,Partner,Desktop,UK,196
2024-02-05,Organic,Desktop,UK,893
2024-02-05,Google,Mobile,USA,743
2024-02-05,LinkedIn,Desktop,Australia,302
2024-02-05,Facebook,Tablet,India,510
2024-02-05,Referral,Mobile,UK,197
2024-02-05,Email,Desktop,USA,50
2024-02-05,Direct,Desktop,Germany,421
2024-02-05,Partner,Mobile,Germany,50
2024-02-06,Organic,Mobile,India,1061
2024-02-06,Google,Desktop,USA,506
2024-02-06,LinkedIn,Desktop,UK,295
2024-02-06,Facebook,Desktop,USA,371
2024-02-06,Referral,Mobile,Australia,50
2024-02-06,Email,Mobile,Germany,50
2024-02-06,Direct,Desktop,Germany,50
2024-02-06,Partner,Mobile,Australia,250
2024-02-07,Organic,Tablet,India,715
2024-02-07,Google,Mobile,USA,909
2024-02-07,LinkedIn,Desktop,Germany,52
2024-02-07,Facebook,Mobile,Australia,666
2024-02-07,Referral,Desktop,Australia,216
2024-02-07,Email,Desktop,Germany,50
2024-02-07,Direct,Mobile,India,485
2024-02-07,Partner,Mobile,Australia,345
2024-02-08,Organic,Desktop,Australia,1026
2024-02-08,Google,Desktop,UK,562
2024-02-08,LinkedIn,Desktop,UK,357
2024-02-08,Facebook,Desktop,India,513
2024-02-08,Referral,Desktop,India,191
2024-02-08,Email,Desktop,Germany,157
2024-02-08,Direct,Desktop,Australia,249
2024-02-08,Partner,Desktop,USA,50
2024-02-09,Organic,Mobile,UK,1037
2024-02-09,Google,Mobile,India,742
2024-02-09,LinkedIn,Mobile,Germany,511
2024-02-09,Facebook,Mobile,UK,503
2024-02-09,Referral,Desktop,UK,257
2024-02-09,Email,Desktop,UK,292
2024-02-09,Direct,Desktop,UK,337
2024-02-09,Partner,Tablet,Germany,355
2024-02-10,Organic,Desktop,Germany,985
2024-02-10,Google,Mobile,Australia,716
2024-02-10,LinkedIn,Desktop,India,70
2024-02-10,Facebook,Desktop,Australia,534
2024-02-10,Referral,Desktop,Germany,379
2024-02-10,Email,Desktop,USA,280
2024-02-10,Direct,Mobile,Germany,273
2024-02-10,Partner,Mobile,USA,277
2024-02-11,Organic,Mobile,India,708
2024-02-11,Google,Mobile,USA,427
2024-02-11,LinkedIn,Desktop,Germany,288
2024-02-11,Facebook,Mobile,India,406
2024-02-11,Referral,Desktop,Germany,137
2024-02-11,Email,Mobile,India,191
2024-02-11,Direct,Desktop,UK,169
2024-02-11,Partner,Desktop,USA,171
2024-02-12,Organic,Desktop,UK,1192
2024-02-12,Google,Desktop,Germany,571
2024-02-12,LinkedIn,Desktop,India,450
2024-02-12,Facebook,Mobile,Germany,209
2024-02-12,Referral,Desktop,USA,266
2024-02-12,Email,Desktop,USA,313
2024-02-12,Direct,Desktop,Germany,349
2024-02-12,Partner,Tablet,UK,107
2024-02-13,Organic,Desktop,USA,1037
2024-02-13,Google,Desktop,Australia,711
2024-02-13,LinkedIn,Mobile,Australia,130
2024-02-13,Facebook,Mobile,USA,525
2024-02-13,Referral,Mobile,India,224
2024-02-13,Email,Mobile,Germany,145
2024-02-13,Direct,Desktop,Australia,78
2024-02-13,Partner,Desktop,USA,220
2024-02-14,Organic,Mobile,Australia,890
2024-02-14,Google,Desktop,USA,709
2024-02-14,LinkedIn,Mobile,USA,50
2024-02-14,Facebook,Desktop,Australia,309
2024-02-14,Referral,Desktop,India,217
2024-02-14,Email,Desktop,Australia,168
2024-02-14,Direct,Desktop,UK,371
2024-02-14,Partner,Desktop,UK,50
2024-02-15,Organic,Desktop,Australia,967
2024-02-15,Google,Desktop,Germany,502
2024-02-15,LinkedIn,Desktop,UK,50
2024-02-15,Facebook,Mobile,USA,203
2024-02-15,Referral,Desktop,Australia,266
2024-02-15,Email,Desktop,UK,423
2024-02-15,Direct,Desktop,Australia,57
2024-02-15,Partner,Desktop,UK,50
2024-02-16,Organic,Desktop,USA,908
2024-02-16,Google,Tablet,USA,775
2024-02-16,LinkedIn,Desktop,Australia,219
2024-02-16,Facebook,Desktop,India,426
2024-02-16,Referral,Desktop,India,50
2024-02-16,Email,Desktop,UK,216
2024-02-16,Direct,Mobile,USA,621
2024-02-16,Partner,Mobile,India,181
2024-02-17,Organic,Mobile,Germany,1012
2024-02-17,Google,Mobile,UK,554
2024-02-17,LinkedIn,Desktop,UK,114
2024-02-17,Facebook,Desktop,Australia,771
2024-02-17,Referral,Desktop,Australia,423
2024-02-17,Email,Desktop,USA,393
2024-02-17,Direct,Desktop,Australia,340
2024-02-17,Partner,Mobile,Germany,50
2024-02-18,Organic,Mobile,Australia,958
2024-02-18,Google,Desktop,India,840
2024-02-18,LinkedIn,Desktop,Germany,50
2024-02-18,Facebook,Mobile,Germany,687
2024-02-18,Referral,Mobile,USA,146
2024-02-18,Email,Desktop,USA,255
2024-02-18,Direct,Mobile,India,424
2024-02-18,Partner,Desktop,Germany,50
2024-02-19,Organic,Desktop,India,914
2024-02-19,Google,Desktop,India,557
2024-02-19,LinkedIn,Tablet,Australia,50
2024-02-19,Facebook,Mobile,India,375
2024-02-19,Referral,Desktop,India,251
2024-02-19,Email,Desktop,Germany,334
2024-02-19,Direct,Desktop,UK,79
2024-02-19,Partner,Desktop,UK,50
2024-02-20,Organic,Desktop,UK,734
2024-02-20,Google,Mobile,Germany,337
2024-02-20,LinkedIn,Desktop,USA,182
2024-02-20,Facebook,Mobile,USA,519
2024-02-20,Referral,Desktop,India,280
2024-02-20,Email,Desktop,UK,198
2024-02-20,Direct,Mobile,India,84
2024-02-20,Partner,Desktop,India,316
2024-02-21,Organic,Mobile,Australia,896
2024-02-21,Google,Tablet,India,782
2024-02-21,LinkedIn,Desktop,Germany,120
2024-02-21,Facebook,Mobile,Germany,502
2024-02-21,Referral,Desktop,Australia,249
2024-02-21,Email,Mobile,UK,50
2024-02-21,Direct,Desktop,UK,411
2024-02-21,Partner,Mobile,India,50
2024-02-22,Organic,Mobile,UK,715
2024-02-22,Google,Mobile,India,620
2024-02-22,LinkedIn,Mobile,Germany,264
2024-02-22,Facebook,Mobile,USA,450
2024-02-22,Referral,Desktop,Australia,50
2024-02-22,Email,Tablet,USA,116
2024-02-22,Direct,Mobile,USA,205
2024-02-22,Partner,Mobile,Australia,50
2024-02-23,Organic,Desktop,Australia,897
2024-02-23,Google,Desktop,USA,746
2024-02-23,LinkedIn,Mobile,Australia,349
2024-02-23,Facebook,Mobile,Australia,264
2024-02-23,Referral,Desktop,India,309
2024-02-23,Email,Desktop,Germany,174
2024-02-23,Direct,Desktop,India,328
2024-02-23,Partner,Desktop,Australia,196
2024-02-24,Organic,Mobile,Australia,968
2024-02-24,Google,Mobile,India,558
2024-02-24,LinkedIn,Desktop,UK,119
2024-02-24,Facebook,Desktop,UK,644
2024-02-24,Referral,Desktop,USA,426
2024-02-24,Email,Desktop,Germany,50
2024-02-24,Direct,Tablet,USA,266
2024-02-24,Partner,Desktop,Germany,156
2024-02-25,Organic,Desktop,USA,996
2024-02-25,Google,Desktop,UK,843
2024-02-25,LinkedIn,Mobile,Germany,248
2024-02-25,Facebook,Desktop,India,490
2024-02-25,Referral,Mobile,Germany,83
2024-02-25,Email,Desktop,UK,50
2024-02-25,Direct,Mobile,India,286
2024-02-25,Partner,Desktop,Australia,242
2024-02-26,Organic,Mobile,Germany,862
2024-02-26,Google,Desktop,UK,901
2024-02-26,LinkedIn,Desktop,Australia,284
2024-02-26,Facebook,Mobile,UK,192
2024-02-26,Referral,Mobile,India,176
2024-02-26,Email,Desktop,UK,50
2024-02-26,Direct,Desktop,USA,390
2024-02-26,Partner,Desktop,Australia,150
2024-02-27,Organic,Mobile,USA,846
2024-02-27,Google,Mobile,UK,751
2024-02-27,LinkedIn,Mobile,USA,162
2024-02-27,Facebook,Desktop,India,283
2024-02-27,Referral,Mobile,UK,356
2024-02-27,Email,Desktop,Australia,318
2024-02-27,Direct,Desktop,Australia,421
2024-02-27,Partner,Desktop,USA,212
2024-02-28,Organic,Desktop,Germany,671
2024-02-28,Google,Mobile,Australia,849
2024-02-28,LinkedIn,Mobile,USA,471
2024-02-28,Facebook,Mobile,Germany,750
2024-02-28,Referral,Desktop,Australia,238
2024-02-28,Email,Tablet,Australia,346
2024-02-28,Direct,Desktop,India,253
2024-02-28,Partner,Desktop,Germany,341
2024-02-29,Organic,Desktop,Germany,1015
2024-02-29,Google,Desktop,Germany,792
2024-02-29,LinkedIn,Desktop,Australia,419
2024-02-29,Facebook,Desktop,UK,159
2024-02-29,Referral,Mobile,USA,261
2024-02-29,Email,Desktop,Australia,50
2024-02-29,Direct,Desktop,Australia,184
2024-02-29,Partner,Mobile,USA,180
2024-03-01,Organic,Desktop,Germany,914
2024-03-01,Google,Desktop,Germany,681
2024-03-01,LinkedIn,Desktop,Germany,293
2024-03-01,Facebook,Desktop,USA,468
2024-03-01,Referral,Mobile,Germany,377
2024-03-01,Email,Mobile,UK,50
2024-03-01,Direct,Desktop,USA,255
2024-03-01,Partner,Desktop,Australia,50
2024-03-02,Organic,Mobile,USA,883
2024-03-02,Google,Desktop,USA,569
2024-03-02,LinkedIn,Mobile,Germany,156
2024-03-02,Facebook,Desktop,USA,290
2024-03-02,Referral,Mobile,India,148
2024-03-02,Email,Desktop,USA,394
2024-03-02,Direct,Desktop,USA,391
2024-03-02,Partner,Desktop,India,50
2024-03-03,Organic,Desktop,USA,735
2024-03-03,Google,Desktop,Australia,627
2024-03-03,LinkedIn,Desktop,UK,113
2024-03-03,Facebook,Desktop,India,600
2024-03-03,Referral,Desktop,Germany,143
2024-03-03,Email,Desktop,Australia,50
2024-03-03,Direct,Mobile,USA,93
2024-03-03,Partner,Mobile,USA,188
2024-03-04,Organic,Desktop,Germany,890
2024-03-04,Google,Desktop,India,549
2024-03-04,LinkedIn,Desktop,Germany,117
2024-03-04,Facebook,Desktop,Germany,419
2024-03-04,Referral,Mobile,USA,118
2024-03-04,Email,Mobile,Germany,290
2024-03-04,Direct,Mobile,UK,297
2024-03-04,Partner,Desktop,India,50
2024-03-05,Organic,Mobile,Australia,885
2024-03-05,Google,Mobile,UK,611
2024-03-05,LinkedIn,Tablet,Australia,268
2024-03-05,Facebook,Mobile,Australia,486
2024-03-05,Referral,Desktop,Germany,298
2024-03-05,Email,Desktop,Australia,50
2024-03-05,Direct,Mobile,India,312
2024-03-05,Partner,Mobile,Germany,84
2024-03-06,Organic,Mobile,USA,733
2024-03-06,Google,Desktop,USA,534
2024-03-06,LinkedIn,Desktop,USA,204
2024-03-06,Facebook,Mobile,India,394
2024-03-06,Referral,Mobile,Germany,224
2024-03-06,Email,Desktop,UK,333
2024-03-06,Direct,Mobile,Germany,170
2024-03-06,Partner,Desktop,UK,150
2024-03-07,Organic,Desktop,UK,918
2024-03-07,Google,Desktop,Germany,950
2024-03-07,LinkedIn,Desktop,India,348
2024-03-07,Facebook,Desktop,UK,550
2024-03-07,Referral,Mobile,UK,220
2024-03-07,Email,Mobile,UK,50
2024-03-07,Direct,Mobile,India,159
2024-03-07,Partner,Mobile,USA,106
2024-03-08,Organic,Mobile,India,1026
2024-03-08,Google,Mobile,Germany,734
2024-03-08,LinkedIn,Desktop,Germany,123
2024-03-08,Facebook,Desktop,India,763
2024-03-08,Referral,Desktop,UK,50
2024-03-08,Email,Mobile,UK,105
2024-03-08,Direct,Desktop,Australia,382
2024-03-08,Partner,Desktop,Germany,376
2024-03-09,Organic,Mobile,UK,910
2024-03-09,Google,Mobile,India,834
2024-03-09,LinkedIn,Mobile,India,279
2024-03-09,Facebook,Mobile,Germany,546
2024-03-09,Referral,Desktop,Germany,228
2024-03-09,Email,Mobile,UK,281
2024-03-09,Direct,Mobile,Germany,454
2024-03-09,Partner,Desktop,Australia,79
2024-03-10,Organic,Desktop,India,868
2024-03-10,Google,Desktop,USA,397
2024-03-10,LinkedIn,Desktop,Australia,210
2024-03-10,Facebook,Desktop,UK,495
2024-03-10,Referral,Desktop,India,50
2024-03-10,Email,Desktop,UK,50
2024-03-10,Direct,Desktop,USA,167
2024-03-10,Partner,Mobile,India,236
2024-03-11,Organic,Desktop,UK,812
2024-03-11,Google,Mobile,Australia,788
2024-03-11,LinkedIn,Mobile,Australia,195
2024-03-11,Facebook,Desktop,Germany,466
2024-03-11,Referral,Mobile,India,291
2024-03-11,Email,Tablet,USA,265
2024-03-11,Direct,Mobile,India,343
2024-03-11,Partner,Mobile,USA,182
2024-03-12,Organic,Desktop,Germany,1061
2024-03-12,Google,Mobile,Germany,748
2024-03-12,LinkedIn,Mobile,India,206
2024-03-12,Facebook,Mobile,Australia,352
2024-03-12,Referral,Mobile,UK,271
2024-03-12,Email,Desktop,UK,263
2024-03-12,Direct,Desktop,UK,68
2024-03-12,Partner,Desktop,USA,136
2024-03-13,Organic,Desktop,Australia,873
2024-03-13,Google,Desktop,UK,437
2024-03-13,LinkedIn,Mobile,Germany,252
2024-03-13,Facebook,Mobile,Germany,329
2024-03-13,Referral,Mobile,USA,464
2024-03-13,Email,Desktop,Germany,218
2024-03-13,Direct,Desktop,Germany,91
2024-03-13,Partner,Mobile,Germany,342
2024-03-14,Organic,Desktop,UK,934
2024-03-14,Google,Desktop,Australia,342
2024-03-14,LinkedIn,Mobile,Germany,423
2024-03-14,Facebook,Tablet,UK,466
2024-03-14,Referral,Desktop,UK,72
2024-03-14,Email,Desktop,USA,164
2024-03-14,Direct,Desktop,USA,114
2024-03-14,Partner,Tablet,Australia,53
2024-03-15,Organic,Desktop,Australia,506
2024-03-15,Google,Tablet,Germany,476
2024-03-15,LinkedIn,Desktop,UK,634
2024-03-15,Facebook,Mobile,Australia,179
2024-03-15,Referral,Mobile,UK,50
2024-03-15,Email,Mobile,Australia,50
2024-03-15,Direct,Desktop,India,551
2024-03-15,Partner,Desktop,India,50
2024-03-16,Organic,Desktop,Australia,871
2024-03-16,Google,Desktop,UK,876
2024-03-16,LinkedIn,Desktop,Germany,278
2024-03-16,Facebook,Mobile,Germany,297
2024-03-16,Referral,Desktop,India,264
2024-03-16,Email,Desktop,Germany,90
2024-03-16,Direct,Desktop,UK,408
2024-03-16,Partner,Mobile,UK,112
2024-03-17,Organic,Mobile,UK,579
2024-03-17,Google,Mobile,Germany,1130
2024-03-17,LinkedIn,Desktop,Australia,224
2024-03-17,Facebook,Mobile,UK,658
2024-03-17,Referral,Tablet,Australia,74
2024-03-17,Email,Desktop,Australia,50
2024-03-17,Direct,Mobile,India,575
2024-03-17,Partner,Desktop,India,189
2024-03-18,Organic,Desktop,Australia,881
2024-03-18,Google,Mobile,India,606
2024-03-18,LinkedIn,Desktop,India,327
2024-03-18,Facebook,Desktop,Germany,517
2024-03-18,Referral,Desktop,Germany,138
2024-03-18,Email,Mobile,Australia,128
2024-03-18,Direct,Desktop,USA,244
2024-03-18,Partner,Mobile,Germany,211
2024-03-19,Organic,Desktop,USA,967
2024-03-19,Google,Mobile,UK,546
2024-03-19,LinkedIn,Desktop,Australia,248
2024-03-19,Facebook,Desktop,UK,398
2024-03-19,Referral,Desktop,USA,111
2024-03-19,Email,Mobile,Germany,200
2024-03-19,Direct,Desktop,Australia,303
2024-03-19,Partner,Mobile,Germany,452
2024-03-20,Organic,Desktop,USA,958
2024-03-20,Google,Mobile,UK,583
2024-03-20,LinkedIn,Desktop,Australia,141
2024-03-20,Facebook,Desktop,India,219
2024-03-20,Referral,Desktop,UK,111
2024-03-20,Email,Mobile,Germany,318
2024-03-20,Direct,Mobile,Germany,279
2024-03-20,Partner,Desktop,USA,149
2024-03-21,Organic,Mobile,Australia,1010
2024-03-21,Google,Mobile,India,676
2024-03-21,LinkedIn,Mobile,India,141
2024-03-21,Facebook,Mobile,Germany,390
2024-03-21,Referral,Desktop,USA,50
2024-03-21,Email,Mobile,India,145
2024-03-21,Direct,Desktop,India,425
2024-03-21,Partner,Mobile,India,71
2024-03-22,Organic,Desktop,Germany,997
2024-03-22,Google,Desktop,Germany,773
