date,channel,profile_completed
2024-01-15,Facebook,2
2024-01-15,Referral,19
2024-01-15,Email,13
2024-01-15,Direct,6
2024-01-15,Partner,18
2024-01-16,Organic,30
2024-01-16,Google,17
2024-01-16,LinkedIn,5
2024-01-16,Facebook,8
2024-01-16,Referral,5
2024-01-16,Email,1
2024-01-16,Direct,2
2024-01-16,Partner,13
2024-01-17,Organic,39
2024-01-17,Google,21
2024-01-17,LinkedIn,27
2024-01-17,Facebook,6
2024-01-17,Referral,13
2024-01-17,Email,3
2024-01-17,Direct,3
2024-01-17,Partner,22
2024-01-18,Organic,40
2024-01-18,Google,30
2024-01-18,LinkedIn,25
2024-01-18,Facebook,9
2024-01-18,Referral,24
2024-01-18,Email,11
2024-01-18,Direct,1
2024-01-18,Partner,3
2024-01-19,Organic,24
2024-01-19,Google,21
2024-01-19,LinkedIn,13
2024-01-19,Facebook,8
2024-01-19,Referral,18
2024-01-19,Email,3
2024-01-19,Direct,4
2024-01-19,Partner,3
2024-01-20,Organic,32
2024-01-20,Google,17
2024-01-20,LinkedIn,22
2024-01-20,Facebook,7
2024-01-20,Referral,19
2024-01-20,Email,1
2024-01-20,Direct,2
2024-01-20,Partner,4
2024-01-21,Organic,30
2024-01-21,Google,15
2024-01-21,LinkedIn,33
2024-01-21,Facebook,13
2024-01-21,Referral,12
2024-01-21,Email,1
2024-01-21,Direct,9
2024-01-21,Partner,9
2024-01-22,Organic,24
2024-01-22,Google,24
2024-01-22,LinkedIn,31
2024-01-22,Facebook,10
2024-01-22,Referral,11
2024-01-22,Email,3
2024-01-22,Direct,10
2024-01-22,Partner,3
2024-01-23,Organic,36
2024-01-23,Google,22
2024-01-23,LinkedIn,21
2024-01-23,Facebook,10
2024-01-23,Referral,19
2024-01-23,Email,1
2024-01-23,Direct,7
2024-01-23,Partner,4
2024-01-24,Organic,25
2024-01-24,Google,28
2024-01-24,LinkedIn,9
2024-01-24,Facebook,10
2024-01-24,Referral,25
2024-01-24,Email,6
2024-01-24,Direct,2
2024-01-24,Partner,39
2024-01-25,Organic,39
2024-01-25,Google,30
2024-01-25,LinkedIn,22
2024-01-25,Facebook,6
2024-01-25,Referral,7
2024-01-25,Email,15
2024-01-25,Direct,6
2024-01-25,Partner,19
2024-01-26,Organic,40
2024-01-26,Google,10
2024-01-26,LinkedIn,18
2024-01-26,Facebook,4
2024-01-26,Referral,9
2024-01-26,Email,1
2024-01-26,Direct,7
2024-01-26,Partner,5
2024-01-27,Organic,43
2024-01-27,Google,8
2024-01-27,LinkedIn,15
2024-01-27,Facebook,8
2024-01-27,Referral,21
2024-01-27,Email,1
2024-01-27,Direct,8
2024-01-27,Partner,3
2024-01-28,Organic,24
2024-01-28,Google,17
2024-01-28,LinkedIn,18
2024-01-28,Facebook,12
2024-01-28,Referral,9
2024-01-28,Email,5
2024-01-28,Direct,7
2024-01-28,Partner,3
2024-01-29,Organic,47
2024-01-29,Google,24
2024-01-29,LinkedIn,9
2024-01-29,Facebook,6
2024-01-29,Referral,28
2024-01-29,Email,10
2024-01-29,Direct,13
2024-01-29,Partner,24
2024-01-30,Organic,24
2024-01-30,Google,17
2024-01-30,LinkedIn,12
2024-01-30,Facebook,13
2024-01-30,Referral,2
2024-01-30,Email,5
2024-01-30,Direct,7
2024-01-30,Partner,3
2024-01-31,Organic,29
2024-01-31,Google,21
2024-01-31,LinkedIn,22
2024-01-31,Facebook,7
2024-01-31,Referral,18
2024-01-31,Email,9
2024-01-31,Direct,10
2024-01-31,Partner,9
2024-02-01,Organic,34
2024-02-01,Google,24
2024-02-01,LinkedIn,5
2024-02-01,Facebook,18
2024-02-01,Referral,28
2024-02-01,Email,9
2024-02-01,Direct,6
2024-02-01,Partner,19
2024-02-02,Organic,50
2024-02-02,Google,18
2024-02-02,LinkedIn,9
2024-02-02,Facebook,8
2024-02-02,Referral,10
2024-02-02,Email,1
2024-02-02,Direct,6
2024-02-02,Partner,8
2024-02-03,Organic,32
2024-02-03,Google,18
2024-02-03,LinkedIn,37
2024-02-03,Facebook,10
2024-02-03,Referral,7
2024-02-03,Email,10
2024-02-03,Direct,5
2024-02-03,Partner,14
2024-02-04,Organic,29
2024-02-04,Google,22
2024-02-04,LinkedIn,20
2024-02-04,Facebook,5
2024-02-04,Referral,27
2024-02-04,Email,11
2024-02-04,Direct,10
2024-02-04,Partner,13
2024-02-05,Organic,34
2024-02-05,Google,24
2024-02-05,LinkedIn,18
2024-02-05,Facebook,10
2024-02-05,Referral,9
2024-02-05,Email,1
2024-02-05,Direct,12
2024-02-05,Partner,3
2024-02-06,Organic,40
2024-02-06,Google,16
2024-02-06,LinkedIn,18
2024-02-06,Facebook,7
2024-02-06,Referral,2
2024-02-06,Email,1
2024-02-06,Direct,0
2024-02-06,Partner,17
2024-02-07,Organic,27
2024-02-07,Google,30
2024-02-07,LinkedIn,2
2024-02-07,Facebook,13
2024-02-07,Referral,11
2024-02-07,Email,1
2024-02-07,Direct,13
2024-02-07,Partner,24
2024-02-08,Organic,40
2024-02-08,Google,18
2024-02-08,LinkedIn,22
2024-02-08,Facebook,10
2024-02-08,Referral,9
2024-02-08,Email,6
2024-02-08,Direct,6
2024-02-08,Partner,3
2024-02-09,Organic,40
2024-02-09,Google,24
2024-02-09,LinkedIn,31
2024-02-09,Facebook,10
2024-02-09,Referral,12
2024-02-09,Email,12
2024-02-09,Direct,9
2024-02-09,Partner,24
2024-02-10,Organic,38
2024-02-10,Google,24
2024-02-10,LinkedIn,4
2024-02-10,Facebook,10
2024-02-10,Referral,19
2024-02-10,Email,11
2024-02-10,Direct,7
2024-02-10,Partner,19
2024-02-11,Organic,27
2024-02-11,Google,14
2024-02-11,LinkedIn,17
2024-02-11,Facebook,8
2024-02-11,Referral,6
2024-02-11,Email,7
2024-02-11,Direct,4
2024-02-11,Partner,11
2024-02-12,Organic,46
2024-02-12,Google,18
2024-02-12,LinkedIn,27
2024-02-12,Facebook,4
2024-02-12,Referral,13
2024-02-12,Email,12
2024-02-12,Direct,9
2024-02-12,Partner,6
2024-02-13,Organic,40
2024-02-13,Google,24
2024-02-13,LinkedIn,7
2024-02-13,Facebook,10
2024-02-13,Referral,11
2024-02-13,Email,6
2024-02-13,Direct,1
2024-02-13,Partner,14
2024-02-14,Organic,34
2024-02-14,Google,23
2024-02-14,LinkedIn,2
2024-02-14,Facebook,6
2024-02-14,Referral,11
2024-02-14,Email,6
2024-02-14,Direct,10
2024-02-14,Partner,3
2024-02-15,Organic,37
2024-02-15,Google,16
2024-02-15,LinkedIn,2
2024-02-15,Facebook,4
2024-02-15,Referral,13
2024-02-15,Email,18
2024-02-15,Direct,0
2024-02-15,Partner,3
2024-02-16,Organic,35
2024-02-16,Google,25
2024-02-16,LinkedIn,13
2024-02-16,Facebook,8
2024-02-16,Referral,2
2024-02-16,Email,9
2024-02-16,Direct,18
2024-02-16,Partner,12
2024-02-17,Organic,39
2024-02-17,Google,18
2024-02-17,LinkedIn,6
2024-02-17,Facebook,16
2024-02-17,Referral,21
2024-02-17,Email,16
2024-02-17,Direct,9
2024-02-17,Partner,3
2024-02-18,Organic,36
2024-02-18,Google,28
2024-02-18,LinkedIn,2
2024-02-18,Facebook,14
2024-02-18,Referral,7
2024-02-18,Email,10
2024-02-18,Direct,12
2024-02-18,Partner,3
2024-02-19,Organic,35
2024-02-19,Google,18
2024-02-19,LinkedIn,2
2024-02-19,Facebook,8
2024-02-19,Referral,12
2024-02-19,Email,14
2024-02-19,Direct,1
2024-02-19,Partner,3
2024-02-20,Organic,28
2024-02-20,Google,10
2024-02-20,LinkedIn,10
2024-02-20,Facebook,10
2024-02-20,Referral,14
2024-02-20,Email,7
2024-02-20,Direct,2
2024-02-20,Partner,21
2024-02-21,Organic,34
2024-02-21,Google,26
2024-02-21,LinkedIn,6
2024-02-21,Facebook,10
2024-02-21,Referral,12
2024-02-21,Email,1
2024-02-21,Direct,11
2024-02-21,Partner,3
2024-02-22,Organic,27
2024-02-22,Google,21
2024-02-22,LinkedIn,15
2024-02-22,Facebook,9
2024-02-22,Referral,2
2024-02-22,Email,4
2024-02-22,Direct,5
2024-02-22,Partner,3
2024-02-23,Organic,34
2024-02-23,Google,24
2024-02-23,LinkedIn,21
2024-02-23,Facebook,5
2024-02-23,Referral,15
2024-02-23,Email,7
2024-02-23,Direct,9
2024-02-23,Partner,13
2024-02-24,Organic,37
2024-02-24,Google,18
2024-02-24,LinkedIn,6
2024-02-24,Facebook,13
2024-02-24,Referral,22
2024-02-24,Email,1
2024-02-24,Direct,7
2024-02-24,Partner,9
2024-02-25,Organic,38
2024-02-25,Google,28
2024-02-25,LinkedIn,14
2024-02-25,Facebook,10
2024-02-25,Referral,3
2024-02-25,Email,1
2024-02-25,Direct,7
2024-02-25,Partner,16
2024-02-26,Organic,32
2024-02-26,Google,30
2024-02-26,LinkedIn,17
2024-02-26,Facebook,3
2024-02-26,Referral,8
2024-02-26,Email,1
2024-02-26,Direct,10
2024-02-26,Partner,9
2024-02-27,Organic,32
2024-02-27,Google,24
2024-02-27,LinkedIn,9
2024-02-27,Facebook,5
2024-02-27,Referral,18
2024-02-27,Email,13
2024-02-27,Direct,12
2024-02-27,Partner,14
2024-02-28,Organic,25
2024-02-28,Google,28
2024-02-28,LinkedIn,28
2024-02-28,Facebook,16
2024-02-28,Referral,12
2024-02-28,Email,15
2024-02-28,Direct,6
2024-02-28,Partner,24
2024-02-29,Organic,39
2024-02-29,Google,26
2024-02-29,LinkedIn,25
2024-02-29,Facebook,2
2024-02-29,Referral,12
2024-02-29,Email,1
2024-02-29,Direct,5
2024-02-29,Partner,12
2024-03-01,Organic,35
2024-03-01,Google,22
2024-03-01,LinkedIn,18
2024-03-01,Facebook,9
2024-03-01,Referral,19
2024-03-01,Email,1
2024-03-01,Direct,6
2024-03-01,Partner,3
2024-03-02,Organic,33
2024-03-02,Google,18
2024-03-02,LinkedIn,9
2024-03-02,Facebook,5
2024-03-02,Referral,7
2024-03-02,Email,16
2024-03-02,Direct,10
2024-03-02,Partner,3
2024-03-03,Organic,28
2024-03-03,Google,21
2024-03-03,LinkedIn,6
2024-03-03,Facebook,13
2024-03-03,Referral,7
2024-03-03,Email,1
2024-03-03,Direct,2
2024-03-03,Partner,12
2024-03-04,Organic,34
2024-03-04,Google,18
2024-03-04,LinkedIn,6
2024-03-04,Facebook,8
2024-03-04,Referral,5
2024-03-04,Email,12
2024-03-04,Direct,7
2024-03-04,Partner,3
2024-03-05,Organic,34
2024-03-05,Google,20
2024-03-05,LinkedIn,16
2024-03-05,Facebook,10
2024-03-05,Referral,15
2024-03-05,Email,1
2024-03-05,Direct,8
2024-03-05,Partner,4
2024-03-06,Organic,28
2024-03-06,Google,17
2024-03-06,LinkedIn,12
2024-03-06,Facebook,8
2024-03-06,Referral,11
2024-03-06,Email,14
2024-03-06,Direct,4
2024-03-06,Partner,9
2024-03-07,Organic,36
2024-03-07,Google,31
2024-03-07,LinkedIn,21
2024-03-07,Facebook,11
2024-03-07,Referral,11
2024-03-07,Email,1
2024-03-07,Direct,3
2024-03-07,Partner,6
2024-03-08,Organic,40
2024-03-08,Google,24
2024-03-08,LinkedIn,7
2024-03-08,Facebook,16
2024-03-08,Referral,2
2024-03-08,Email,3
2024-03-08,Direct,10
2024-03-08,Partner,25
2024-03-09,Organic,35
2024-03-09,Google,28
2024-03-09,LinkedIn,17
2024-03-09,Facebook,10
2024-03-09,Referral,11
2024-03-09,Email,11
2024-03-09,Direct,12
2024-03-09,Partner,4
2024-03-10,Organic,33
2024-03-10,Google,12
2024-03-10,LinkedIn,12
2024-03-10,Facebook,10
2024-03-10,Referral,2
2024-03-10,Email,1
2024-03-10,Direct,4
2024-03-10,Partner,15
2024-03-11,Organic,31
2024-03-11,Google,26
2024-03-11,LinkedIn,11
2024-03-11,Facebook,9
2024-03-11,Referral,15
2024-03-11,Email,11
2024-03-11,Direct,9
2024-03-11,Partner,12
2024-03-12,Organic,40
2024-03-12,Google,24
2024-03-12,LinkedIn,12
2024-03-12,Facebook,7
2024-03-12,Referral,13
2024-03-12,Email,11
2024-03-12,Direct,1
2024-03-12,Partner,9
2024-03-13,Organic,33
2024-03-13,Google,14
2024-03-13,LinkedIn,14
2024-03-13,Facebook,6
2024-03-13,Referral,24
2024-03-13,Email,9
2024-03-13,Direct,2
2024-03-13,Partner,24
2024-03-14,Organic,36
2024-03-14,Google,10
2024-03-14,LinkedIn,26
2024-03-14,Facebook,9
2024-03-14,Referral,3
2024-03-14,Email,6
2024-03-14,Direct,2
2024-03-14,Partner,3
2024-03-15,Organic,19
2024-03-15,Google,15
2024-03-15,LinkedIn,39
2024-03-15,Facebook,3
2024-03-15,Referral,2
2024-03-15,Email,1
2024-03-15,Direct,15
2024-03-15,Partner,3
2024-03-16,Organic,33
2024-03-16,Google,29
2024-03-16,LinkedIn,17
2024-03-16,Facebook,5
2024-03-16,Referral,13
2024-03-16,Email,3
2024-03-16,Direct,11
2024-03-16,Partner,7
2024-03-17,Organic,21
2024-03-17,Google,38
2024-03-17,LinkedIn,13
2024-03-17,Facebook,13
2024-03-17,Referral,3
2024-03-17,Email,1
2024-03-17,Direct,15
2024-03-17,Partner,12
2024-03-18,Organic,33
2024-03-18,Google,20
2024-03-18,LinkedIn,19
2024-03-18,Facebook,10
2024-03-18,Referral,7
2024-03-18,Email,4
2024-03-18,Direct,6
2024-03-18,Partner,14
2024-03-19,Organic,37
2024-03-19,Google,18
2024-03-19,LinkedIn,14
2024-03-19,Facebook,8
2024-03-19,Referral,4
2024-03-19,Email,8
2024-03-19,Direct,8
2024-03-19,Partner,31
2024-03-20,Organic,36
2024-03-20,Google,19
2024-03-20,LinkedIn,8
2024-03-20,Facebook,4
2024-03-20,Referral,4
2024-03-20,Email,13
2024-03-20,Direct,7
2024-03-20,Partner,9
2024-03-21,Organic,39
2024-03-21,Google,22
2024-03-21,LinkedIn,8
2024-03-21,Facebook,8
2024-03-21,Referral,2
2024-03-21,Email,6
2024-03-21,Direct,12
2024-03-21,Partner,4
2024-03-22,Organic,38
2024-03-22,Google,25
2024-03-22,LinkedIn,15
2024-03-22,Facebook,8
2024-03-22,Referral,16
2024-03-22,Email,9
2024-03-22,Direct,5
2024-03-22,Partner,3
2024-03-23,Organic,33
2024-03-23,Google,19
2024-03-23,LinkedIn,7
2024-03-23,Facebook,9
2024-03-23,Referral,22
2024-03-23,Email,1
2024-03-23,Direct,10
2024-03-23,Partner,9
2024-03-24,Organic,24
2024-03-24,Google,17
2024-03-24,LinkedIn,8
2024-03-24,Facebook,8
2024-03-24,Referral,2
2024-03-24,Email,1
2024-03-24,Direct,7
2024-03-24,Partner,4
2024-03-25,Organic,42
2024-03-25,Google,17
2024-03-25,LinkedIn,6
2024-03-25,Facebook,16
2024-03-25,Referral,7
2024-03-25,Email,7
2024-03-25,Direct,5
2024-03-25,Partner,3
2024-03-26,Organic,32
2024-03-26,Google,24
2024-03-26,LinkedIn,14
2024-03-26,Facebook,10
2024-03-26,Referral,15
2024-03-26,Email,6
2024-03-26,Direct,7
2024-03-26,Partner,3
2024-03-27,Organic,27
2024-03-27,Google,24
2024-03-27,LinkedIn,33
2024-03-27,Facebook,8
2024-03-27,Referral,7
2024-03-27,Email,15
2024-03-27,Direct,11
2024-03-27,Partner,3
2024-03-28,Organic,35
2024-03-28,Google,17
2024-03-28,LinkedIn,10
2024-03-28,Facebook,4
2024-03-28,Referral,10
2024-03-28,Email,1
2024-03-28,Direct,6
2024-03-28,Partner,18
2024-03-29,Organic,26
2024-03-29,Google,17
2024-03-29,LinkedIn,8
2024-03-29,Facebook,13
2024-03-29,Referral,17
2024-03-29,Email,1
2024-03-29,Direct,11
2024-03-29,Partner,3
2024-03-30,Organic,40
2024-03-30,Google,24
2024-03-30,LinkedIn,3
2024-03-30,Facebook,9
2024-03-30,Referral,18
2024-03-30,Email,1
2024-03-30,Direct,6
2024-03-30,Partner,3
2024-03-31,Organic,32
2024-03-31,Google,23
2024-03-31,LinkedIn,10
2024-03-31,Facebook,8
2024-03-31,Referral,12
2024-03-31,Email,10
2024-03-31,Direct,7
2024-03-31,Partner,4
2024-04-01,Organic,48
2024-04-01,Google,31
2024-04-01,LinkedIn,4
2024-04-01,Facebook,8
2024-04-01,Referral,5
2024-04-01,Email,6
2024-04-01,Direct,3
2024-04-01,Partner,3
2024-04-02,Organic,33
2024-04-02,Google,25
2024-04-02,LinkedIn,4
2024-04-02,Facebook,13
2024-04-02,Referral,15
2024-04-02,Email,15
2024-04-02,Direct,7
2024-04-02,Partner,8
2024-04-03,Organic,36
2024-04-03,Google,18
2024-04-03,LinkedIn,7
2024-04-03,Facebook,10
2024-04-03,Referral,24
2024-04-03,Email,14
2024-04-03,Direct,10
2024-04-03,Partner,24
2024-04-04,Organic,33
2024-04-04,Google,23
2024-04-04,LinkedIn,2
2024-04-04,Facebook,10
2024-04-04,Referral,25
2024-04-04,Email,6
2024-04-04,Direct,13
2024-04-04,Partner,3
2024-04-05,Organic,32
2024-04-05,Google,23
2024-04-05,LinkedIn,12
2024-04-05,Facebook,11
2024-04-05,Referral,9
2024-04-05,Email,11
2024-04-05,Direct,3
2024-04-05,Partner,8
2024-04-06,Organic,40
2024-04-06,Google,21
2024-04-06,LinkedIn,13
2024-04-06,Facebook,0
2024-04-06,Referral,8
2024-04-06,Email,6
2024-04-06,Direct,12
2024-04-06,Partner,9
2024-04-07,Organic,34
2024-04-07,Google,25
2024-04-07,LinkedIn,9
2024-04-07,Facebook,10
2024-04-07,Referral,17
2024-04-07,Email,3
2024-04-07,Direct,4
2024-04-07,Partner,3
2024-04-08,Organic,30
2024-04-08,Google,29
2024-04-08,LinkedIn,18
2024-04-08,Facebook,2
2024-04-08,Referral,4
2024-04-08,Email,7
2024-04-08,Direct,0
2024-04-08,Partner,23
2024-04-09,Organic,19
2024-04-09,Google,21
2024-04-09,LinkedIn,5
2024-04-09,Facebook,8
2024-04-09,Referral,2
2024-04-09,Email,7
2024-04-09,Direct,12
2024-04-09,Partner,18
2024-04-10,Organic,36
2024-04-10,Google,24
2024-04-10,LinkedIn,6
2024-04-10,Facebook,8
2024-04-10,Referral,17
2024-04-10,Email,1
2024-04-10,Direct,3
2024-04-10,Partner,6
2024-04-11,Organic,38
2024-04-11,Google,21
2024-04-11,LinkedIn,17
2024-04-11,Facebook,14
2024-04-11,Referral,17
2024-04-11,Email,1
2024-04-11,Direct,12
2024-04-11,Partner,4
2024-04-12,Organic,29
2024-04-12,Google,18
2024-04-12,LinkedIn,2
2024-04-12,Facebook,9
2024-04-12,Referral,19
2024-04-12,Email,1
2024-04-12,Direct,0
2024-04-12,Partner,4
2024-04-13,Organic,36
2024-04-13,Google,21
2024-04-13,LinkedIn,2
2024-04-13,Facebook,8
2024-04-13,Referral,17
2024-04-13,Email,3
2024-04-13,Direct,9
2024-04-13,Partner,14
2024-04-14,Organic,41
2024-04-14,Google,18
2024-04-14,LinkedIn,4
2024-04-14,Facebook,13
2024-04-14,Referral,2
2024-04-14,Email,1
2024-04-14,Direct,13
2024-04-14,Partner,28
2024-04-15,Organic,20
2024-04-15,Google,15
2024-04-15,LinkedIn,22
2024-04-15,Facebook,8
2024-04-15,Referral,2
2024-04-15,Email,11
2024-04-15,Direct,10
2024-04-15,Partner,13
2024-04-16,Organic,46
2024-04-16,Google,19
2024-04-16,LinkedIn,18
2024-04-16,Facebook,13
2024-04-16,Referral,5
2024-04-16,Email,4
2024-04-16,Direct,2
2024-04-16,Partner,18
2024-04-17,Organic,41
2024-04-17,Google,21
2024-04-17,LinkedIn,8
2024-04-17,Facebook,8
2024-04-17,Referral,21
2024-04-17,Email,1
2024-04-17,Direct,4
2024-04-17,Partner,4
2024-04-18,Organic,32
2024-04-18,Google,23
2024-04-18,LinkedIn,27
2024-04-18,Facebook,8
2024-04-18,Referral,14
2024-04-18,Email,6
2024-04-18,Direct,9
2024-04-18,Partner,3
2024-04-19,Organic,28
2024-04-19,Google,19
2024-04-19,LinkedIn,11
2024-04-19,Facebook,13
2024-04-19,Referral,27
2024-04-19,Email,16
2024-04-19,Direct,2
2024-04-19,Partner,12
2024-04-20,Organic,36
2024-04-20,Google,26
2024-04-20,LinkedIn,7
2024-04-20,Facebook,8
2024-04-20,Referral,12
2024-04-20,Email,1
2024-04-20,Direct,5
2024-04-20,Partner,3
2024-04-21,Organic,36
2024-04-21,Google,24
2024-04-21,LinkedIn,22
2024-04-21,Facebook,14
2024-04-21,Referral,7
2024-04-21,Email,1
2024-04-21,Direct,0
2024-04-21,Partner,25
2024-04-22,Organic,31
2024-04-22,Google,23
2024-04-22,LinkedIn,9
2024-04-22,Facebook,10
2024-04-22,Referral,21
2024-04-22,Email,1
2024-04-22,Direct,0
2024-04-22,Partner,3
2024-04-23,Organic,36
2024-04-23,Google,24
2024-04-23,LinkedIn,22
2024-04-23,Facebook,13
2024-04-23,Referral,5
2024-04-23,Email,1
2024-04-23,Direct,9
2024-04-23,Partner,3
2024-04-24,Organic,36
2024-04-24,Google,25
2024-04-24,LinkedIn,4
2024-04-24,Facebook,15
2024-04-24,Referral,25
2024-04-24,Email,3
2024-04-24,Direct,0
2024-04-24,Partner,10
2024-04-25,Organic,24
2024-04-25,Google,15
2024-04-25,LinkedIn,31
2024-04-25,Facebook,11
2024-04-25,Referral,11
2024-04-25,Email,6
2024-04-25,Direct,7
2024-04-25,Partner,9
2024-04-26,Organic,39
2024-04-26,Google,25
2024-04-26,LinkedIn,2
2024-04-26,Facebook,6
2024-04-26,Referral,2
2024-04-26,Email,10
2024-04-26,Direct,0
2024-04-26,Partner,3
2024-04-27,Organic,32
2024-04-27,Google,24
2024-04-27,LinkedIn,9
2024-04-27,Facebook,10
2024-04-27,Referral,13
2024-04-27,Email,6
2024-04-27,Direct,10
2024-04-27,Partner,22
2024-04-28,Organic,40
2024-04-28,Google,21
2024-04-28,LinkedIn,13
2024-04-28,Facebook,6
2024-04-28,Referral,2
2024-04-28,Email,7
2024-04-28,Direct,7
2024-04-28,Partner,14
2024-04-29,Organic,44
2024-04-29,Google,19
2024-04-29,LinkedIn,2
2024-04-29,Facebook,5
2024-04-29,Referral,17
2024-04-29,Email,1
2024-04-29,Direct,1
2024-04-29,Partner,3
2024-04-30,Organic,43
2024-04-30,Google,21
2024-04-30,LinkedIn,18
2024-04-30,Facebook,5
2024-04-30,Referral,17
2024-04-30,Email,11
2024-04-30,Direct,6
2024-04-30,Partner,7
2024-05-01,Organic,32
2024-05-01,Google,14
2024-05-01,LinkedIn,4
2024-05-01,Facebook,6
2024-05-01,Referral,31
2024-05-01,Email,15
2024-05-01,Direct,3
2024-05-01,Partner,3
2024-05-02,Organic,25
2024-05-02,Google,26
2024-05-02,LinkedIn,4
2024-05-02,Facebook,4
2024-05-02,Referral,25
2024-05-02,Email,8
2024-05-02,Direct,11
2024-05-02,Partner,3
2024-05-03,Organic,40
2024-05-03,Google,24
2024-05-03,LinkedIn,27
2024-05-03,Facebook,5
2024-05-03,Referral,19
2024-05-03,Email,18
2024-05-03,Direct,0
2024-05-03,Partner,3
2024-05-04,Organic,43
2024-05-04,Google,23
2024-05-04,LinkedIn,25
2024-05-04,Facebook,10
2024-05-04,Referral,19
2024-05-04,Email,9
2024-05-04,Direct,0
2024-05-04,Partner,27
2024-05-05,Organic,43
2024-05-05,Google,25
2024-05-05,LinkedIn,18
2024-05-05,Facebook,5
2024-05-05,Referral,11
2024-05-05,Email,14
2024-05-05,Direct,7
2024-05-05,Partner,18
2024-05-06,Organic,33
2024-05-06,Google,25
2024-05-06,LinkedIn,15
2024-05-06,Facebook,9
2024-05-06,Referral,4
2024-05-06,Email,1
2024-05-06,Direct,2
2024-05-06,Partner,4
2024-05-07,Organic,26
2024-05-07,Google,26
2024-05-07,LinkedIn,27
2024-05-07,Facebook,10
2024-05-07,Referral,7
2024-05-07,Email,3
2024-05-07,Direct,6
2024-05-07,Partner,18
2024-05-08,Organic,28
2024-05-08,Google,28
2024-05-08,LinkedIn,11
2024-05-08,Facebook,13
2024-05-08,Referral,29
2024-05-08,Email,1
2024-05-08,Direct,18
2024-05-08,Partner,3
2024-05-09,Organic,40
2024-05-09,Google,24
2024-05-09,LinkedIn,14
2024-05-09,Facebook,10
2024-05-09,Referral,16
2024-05-09,Email,18
2024-05-09,Direct,4
2024-05-09,Partner,17
2024-05-10,Organic,36
2024-05-10,Google,17
2024-05-10,LinkedIn,2
2024-05-10,Facebook,6
2024-05-10,Referral,28
2024-05-10,Email,1
2024-05-10,Direct,6
2024-05-10,Partner,3
2024-05-11,Organic,33
2024-05-11,Google,21
2024-05-11,LinkedIn,5
2024-05-11,Facebook,5
2024-05-11,Referral,10
2024-05-11,Email,1
