date,channel,spend
2024-01-25,Partner,327.95
2024-01-26,Organic,1429.38
2024-01-26,Google,248.53
2024-01-26,LinkedIn,115.77
2024-01-26,Facebook,140.63
2024-01-26,Referral,52.78
2024-01-26,Email,27.72
2024-01-26,Direct,114.85
2024-01-26,Partner,64.67
2024-01-27,Organic,825.49
2024-01-27,Google,93.85
2024-01-27,LinkedIn,132.51
2024-01-27,Facebook,296.16
2024-01-27,Referral,208.43
2024-01-27,Email,47.67
2024-01-27,Direct,148.54
2024-01-27,Partner,72.48
2024-01-28,Organic,172.71
2024-01-28,Google,225.66
2024-01-28,LinkedIn,317.99
2024-01-28,Facebook,354.64
2024-01-28,Referral,241.56
2024-01-28,Email,99.73
2024-01-28,Direct,390.78
2024-01-28,Partner,40.22
2024-01-29,Organic,609.24
2024-01-29,Google,546.67
2024-01-29,LinkedIn,27.8
2024-01-29,Facebook,416.36
2024-01-29,Referral,685.88
2024-01-29,Email,87.13
2024-01-29,Direct,506.09
2024-01-29,Partner,454.91
2024-01-30,Organic,896.82
2024-01-30,Google,492.73
2024-01-30,LinkedIn,285.5
2024-01-30,Facebook,903.32
2024-01-30,Referral,43.94
2024-01-30,Email,28.74
2024-01-30,Direct,233.91
2024-01-30,Partner,35.36
2024-01-31,Organic,198.89
2024-01-31,Google,335.27
2024-01-31,LinkedIn,560.7
2024-01-31,Facebook,270.76
2024-01-31,Referral,376.25
2024-01-31,Email,331.43
2024-01-31,Direct,70.89
2024-01-31,Partner,57.4
2024-02-01,Organic,1174.5
2024-02-01,Google,651.73
2024-02-01,LinkedIn,149.27
2024-02-01,Facebook,971.58
2024-02-01,Referral,625.77
2024-02-01,Email,217.87
2024-02-01,Direct,357.27
2024-02-01,Partner,61.69
2024-02-02,Organic,666.13
2024-02-02,Google,339.5
2024-02-02,LinkedIn,110.66
2024-02-02,Facebook,454.21
2024-02-02,Referral,64.55
2024-02-02,Email,60.58
2024-02-02,Direct,155.73
2024-02-02,Partner,162.74
2024-02-03,Organic,330.19
2024-02-03,Google,130.01
2024-02-03,LinkedIn,528.16
2024-02-03,Facebook,610.28
2024-02-03,Referral,70.99
2024-02-03,Email,331.39
2024-02-03,Direct,60.1
2024-02-03,Partner,269.2
2024-02-04,Organic,541.49
2024-02-04,Google,760.47
2024-02-04,LinkedIn,86.96
2024-02-04,Facebook,231.65
2024-02-04,Referral,458.85
2024-02-04,Email,364.77
2024-02-04,Direct,396.25
2024-02-04,Partner,228.57
2024-02-05,Organic,1193.71
2024-02-05,Google,340.77
2024-02-05,LinkedIn,252.19
2024-02-05,Facebook,501.25
2024-02-05,Referral,31.96
2024-02-05,Email,58.87
2024-02-05,Direct,592.87
2024-02-05,Partner,19.23
2024-02-06,Organic,255.62
2024-02-06,Google,115.47
2024-02-06,LinkedIn,54.04
2024-02-06,Facebook,182.12
2024-02-06,Referral,18.54
2024-02-06,Email,27.64
2024-02-06,Direct,71.68
2024-02-06,Partner,284.3
2024-02-07,Organic,371.94
2024-02-07,Google,529.95
2024-02-07,LinkedIn,68.48
2024-02-07,Facebook,266.71
2024-02-07,Referral,187.05
2024-02-07,Email,16.36
2024-02-07,Direct,234.83
2024-02-07,Partner,126.65
2024-02-08,Organic,583.78
2024-02-08,Google,139.27
2024-02-08,LinkedIn,429.4
2024-02-08,Facebook,149.62
2024-02-08,Referral,153.03
2024-02-08,Email,142.17
2024-02-08,Direct,334.01
2024-02-08,Partner,12.8
2024-02-09,Organic,213.2
2024-02-09,Google,235.73
2024-02-09,LinkedIn,677.49
2024-02-09,Facebook,305.95
2024-02-09,Referral,322.11
2024-02-09,Email,59.87
2024-02-09,Direct,346.4
2024-02-09,Partner,158.31
2024-02-10,Organic,724.4
2024-02-10,Google,644.21
2024-02-10,LinkedIn,74.78
2024-02-10,Facebook,685.98
2024-02-10,Referral,274.55
2024-02-10,Email,332.2
2024-02-10,Direct,202.6
2024-02-10,Partner,368.17
2024-02-11,Organic,551.42
2024-02-11,Google,139.89
2024-02-11,LinkedIn,234.6
2024-02-11,Facebook,282.89
2024-02-11,Referral,141.16
2024-02-11,Email,95.21
2024-02-11,Direct,246.61
2024-02-11,Partner,229.65
2024-02-12,Organic,413.35
2024-02-12,Google,816.87
2024-02-12,LinkedIn,284.21
2024-02-12,Facebook,269.53
2024-02-12,Referral,233.78
2024-02-12,Email,98.91
2024-02-12,Direct,201.31
2024-02-12,Partner,37.48
2024-02-13,Organic,792.16
2024-02-13,Google,435.55
2024-02-13,LinkedIn,52.56
2024-02-13,Facebook,393.26
2024-02-13,Referral,107.43
2024-02-13,Email,27.7
2024-02-13,Direct,81.08
2024-02-13,Partner,204.42
2024-02-14,Organic,1179.71
2024-02-14,Google,382.67
2024-02-14,LinkedIn,52.56
2024-02-14,Facebook,412.56
2024-02-14,Referral,192.06
2024-02-14,Email,108.31
2024-02-14,Direct,354.4
2024-02-14,Partner,22.84
2024-02-15,Organic,1136.34
2024-02-15,Google,660.38
2024-02-15,LinkedIn,46.66
2024-02-15,Facebook,240.07
2024-02-15,Referral,335.22
2024-02-15,Email,576.27
2024-02-15,Direct,45.42
2024-02-15,Partner,49.17
2024-02-16,Organic,848.31
2024-02-16,Google,534.65
2024-02-16,LinkedIn,234.22
2024-02-16,Facebook,170.05
2024-02-16,Referral,72.5
2024-02-16,Email,141.32
2024-02-16,Direct,758.59
2024-02-16,Partner,115.3
2024-02-17,Organic,527.24
2024-02-17,Google,585.26
2024-02-17,LinkedIn,107.38
2024-02-17,Facebook,1020.42
2024-02-17,Referral,375.64
2024-02-17,Email,374.35
2024-02-17,Direct,361.21
2024-02-17,Partner,55.94
2024-02-18,Organic,579.84
2024-02-18,Google,216.06
2024-02-18,LinkedIn,32.27
2024-02-18,Facebook,513.36
2024-02-18,Referral,128.34
2024-02-18,Email,272.39
2024-02-18,Direct,632.65
2024-02-18,Partner,74.69
2024-02-19,Organic,1318.71
2024-02-19,Google,211.74
2024-02-19,LinkedIn,15.59
2024-02-19,Facebook,429.45
2024-02-19,Referral,248.95
2024-02-19,Email,324.47
2024-02-19,Direct,50.26
2024-02-19,Partner,23.64
2024-02-20,Organic,705.23
2024-02-20,Google,408.27
2024-02-20,LinkedIn,255.95
2024-02-20,Facebook,517.82
2024-02-20,Referral,340.63
2024-02-20,Email,115.91
2024-02-20,Direct,123.23
2024-02-20,Partner,292.76
2024-02-21,Organic,867.72
2024-02-21,Google,452.52
2024-02-21,LinkedIn,95.47
2024-02-21,Facebook,129.49
2024-02-21,Referral,185.09
2024-02-21,Email,8.69
2024-02-21,Direct,168.06
2024-02-21,Partner,58.41
2024-02-22,Organic,179.29
2024-02-22,Google,241.79
2024-02-22,LinkedIn,329.7
2024-02-22,Facebook,173.05
2024-02-22,Referral,32.32
2024-02-22,Email,78.02
2024-02-22,Direct,249.48
2024-02-22,Partner,20.3
2024-02-23,Organic,267.44
2024-02-23,Google,962.25
2024-02-23,LinkedIn,434.3
2024-02-23,Facebook,203.35
2024-02-23,Referral,383.78
2024-02-23,Email,223.62
2024-02-23,Direct,268.59
2024-02-23,Partner,191.85
2024-02-24,Organic,814.57
2024-02-24,Google,112.34
2024-02-24,LinkedIn,65.49
2024-02-24,Facebook,671.6
2024-02-24,Referral,541.54
2024-02-24,Email,8.91
2024-02-24,Direct,121.72
2024-02-24,Partner,25.6
2024-02-25,Organic,862.44
2024-02-25,Google,493.15
2024-02-25,LinkedIn,232.2
2024-02-25,Facebook,177.12
2024-02-25,Referral,61.69
2024-02-25,Email,23.75
2024-02-25,Direct,153.29
2024-02-25,Partner,120.73
2024-02-26,Organic,1109.13
2024-02-26,Google,200.66
2024-02-26,LinkedIn,321.69
2024-02-26,Facebook,216.97
2024-02-26,Referral,124.63
2024-02-26,Email,41.81
2024-02-26,Direct,286.9
2024-02-26,Partner,24.39
2024-02-27,Organic,348.41
2024-02-27,Google,319.51
2024-02-27,LinkedIn,195.72
2024-02-27,Facebook,333.19
2024-02-27,Referral,416.86
2024-02-27,Email,475.43
2024-02-27,Direct,186.6
2024-02-27,Partner,32.34
2024-02-28,Organic,820.07
2024-02-28,Google,712.01
2024-02-28,LinkedIn,427.15
2024-02-28,Facebook,719.36
2024-02-28,Referral,60.46
2024-02-28,Email,400.32
2024-02-28,Direct,188.3
2024-02-28,Partner,250.95
2024-02-29,Organic,562.56
2024-02-29,Google,649.3
2024-02-29,LinkedIn,395.32
2024-02-29,Facebook,234.13
2024-02-29,Referral,144.41
2024-02-29,Email,65.06
2024-02-29,Direct,226.98
2024-02-29,Partner,198.56
2024-03-01,Organic,145.77
2024-03-01,Google,222.91
2024-03-01,LinkedIn,71.23
2024-03-01,Facebook,244.4
2024-03-01,Referral,285.45
2024-03-01,Email,18.06
2024-03-01,Direct,179.77
2024-03-01,Partner,56.94
2024-03-02,Organic,442.57
2024-03-02,Google,837.79
2024-03-02,LinkedIn,88.41
2024-03-02,Facebook,180.33
2024-03-02,Referral,39.95
2024-03-02,Email,337.49
2024-03-02,Direct,476.55
2024-03-02,Partner,13.02
2024-03-03,Organic,769.29
2024-03-03,Google,485.36
2024-03-03,LinkedIn,137.0
2024-03-03,Facebook,461.98
2024-03-03,Referral,53.25
2024-03-03,Email,42.56
2024-03-03,Direct,46.03
2024-03-03,Partner,218.74
2024-03-04,Organic,1225.93
2024-03-04,Google,674.04
2024-03-04,LinkedIn,87.22
2024-03-04,Facebook,358.87
2024-03-04,Referral,67.46
2024-03-04,Email,105.34
2024-03-04,Direct,190.14
2024-03-04,Partner,73.89
2024-03-05,Organic,1008.07
2024-03-05,Google,454.85
2024-03-05,LinkedIn,222.98
2024-03-05,Facebook,718.57
2024-03-05,Referral,82.13
2024-03-05,Email,67.59
2024-03-05,Direct,93.45
2024-03-05,Partner,66.03
2024-03-06,Organic,920.64
2024-03-06,Google,256.24
2024-03-06,LinkedIn,69.7
2024-03-06,Facebook,457.4
2024-03-06,Referral,329.68
2024-03-06,Email,382.3
2024-03-06,Direct,65.64
2024-03-06,Partner,223.33
2024-03-07,Organic,516.07
2024-03-07,Google,1121.25
2024-03-07,LinkedIn,364.61
2024-03-07,Facebook,731.61
2024-03-07,Referral,169.73
2024-03-07,Email,35.36
2024-03-07,Direct,182.67
2024-03-07,Partner,57.72
2024-03-08,Organic,1513.79
2024-03-08,Google,412.08
2024-03-08,LinkedIn,54.72
2024-03-08,Facebook,213.89
2024-03-08,Referral,47.89
2024-03-08,Email,119.26
2024-03-08,Direct,517.46
2024-03-08,Partner,481.85
2024-03-09,Organic,214.68
2024-03-09,Google,674.96
2024-03-09,LinkedIn,354.2
2024-03-09,Facebook,100.43
2024-03-09,Referral,76.53
2024-03-09,Email,210.35
2024-03-09,Direct,460.11
2024-03-09,Partner,22.97
2024-03-10,Organic,1283.06
2024-03-10,Google,61.12
2024-03-10,LinkedIn,164.64
2024-03-10,Facebook,396.37
2024-03-10,Referral,47.38
2024-03-10,Email,8.02
2024-03-10,Direct,129.4
2024-03-10,Partner,128.91
2024-03-11,Organic,1018.72
2024-03-11,Google,657.98
2024-03-11,LinkedIn,147.87
2024-03-11,Facebook,318.13
2024-03-11,Referral,145.07
2024-03-11,Email,334.46
2024-03-11,Direct,52.42
2024-03-11,Partner,175.65
2024-03-12,Organic,1108.32
2024-03-12,Google,667.17
2024-03-12,LinkedIn,292.79
2024-03-12,Facebook,359.99
2024-03-12,Referral,360.29
2024-03-12,Email,302.54
2024-03-12,Direct,11.27
2024-03-12,Partner,102.81
2024-03-13,Organic,1093.5
2024-03-13,Google,474.09
2024-03-13,LinkedIn,330.96
2024-03-13,Facebook,403.95
2024-03-13,Referral,131.53
2024-03-13,Email,141.61
2024-03-13,Direct,34.15
2024-03-13,Partner,71.97
2024-03-14,Organic,617.87
2024-03-14,Google,240.43
2024-03-14,LinkedIn,394.79
2024-03-14,Facebook,175.19
2024-03-14,Referral,20.45
2024-03-14,Email,110.5
2024-03-14,Direct,92.18
2024-03-14,Partner,16.26
2024-03-15,Organic,755.49
2024-03-15,Google,256.73
2024-03-15,LinkedIn,239.18
2024-03-15,Facebook,112.92
2024-03-15,Referral,72.73
2024-03-15,Email,18.65
2024-03-15,Direct,446.32
2024-03-15,Partner,57.08
2024-03-16,Organic,989.98
2024-03-16,Google,693.78
2024-03-16,LinkedIn,266.55
2024-03-16,Facebook,59.78
2024-03-16,Referral,205.96
2024-03-16,Email,128.82
2024-03-16,Direct,385.47
2024-03-16,Partner,47.53
2024-03-17,Organic,538.08
2024-03-17,Google,791.27
2024-03-17,LinkedIn,334.83
2024-03-17,Facebook,488.8
2024-03-17,Referral,14.18
2024-03-17,Email,70.03
2024-03-17,Direct,586.52
2024-03-17,Partner,99.48
2024-03-18,Organic,884.9
2024-03-18,Google,707.28
2024-03-18,LinkedIn,319.93
2024-03-18,Facebook,582.27
2024-03-18,Referral,85.69
2024-03-18,Email,118.91
2024-03-18,Direct,135.28
2024-03-18,Partner,257.97
2024-03-19,Organic,1015.6
2024-03-19,Google,289.03
2024-03-19,LinkedIn,319.18
2024-03-19,Facebook,77.79
2024-03-19,Referral,149.82
2024-03-19,Email,188.18
2024-03-19,Direct,234.91
2024-03-19,Partner,558.38
2024-03-20,Organic,494.71
2024-03-20,Google,192.78
2024-03-20,LinkedIn,40.71
2024-03-20,Facebook,46.7
2024-03-20,Referral,31.92
2024-03-20,Email,290.25
2024-03-20,Direct,205.25
2024-03-20,Partner,158.15
2024-03-21,Organic,1302.63
2024-03-21,Google,752.13
2024-03-21,LinkedIn,149.85
2024-03-21,Facebook,113.97
2024-03-21,Referral,65.94
2024-03-21,Email,145.94
2024-03-21,Direct,551.64
2024-03-21,Partner,94.02
2024-03-22,Organic,197.92
2024-03-22,Google,886.71
2024-03-22,LinkedIn,203.32
2024-03-22,Facebook,214.66
2024-03-22,Referral,280.27
2024-03-22,Email,40.42
2024-03-22,Direct,144.03
2024-03-22,Partner,8.17
2024-03-23,Organic,1041.16
2024-03-23,Google,500.3
2024-03-23,LinkedIn,83.31
2024-03-23,Facebook,239.01
2024-03-23,Referral,192.3
2024-03-23,Email,7.59
2024-03-23,Direct,418.44
2024-03-23,Partner,134.59
2024-03-24,Organic,157.3
2024-03-24,Google,515.98
2024-03-24,LinkedIn,194.81
2024-03-24,Facebook,383.86
2024-03-24,Referral,20.72
2024-03-24,Email,73.74
2024-03-24,Direct,290.46
2024-03-24,Partner,65.14
2024-03-25,Organic,952.85
2024-03-25,Google,567.86
2024-03-25,LinkedIn,37.76
2024-03-25,Facebook,898.41
2024-03-25,Referral,83.34
2024-03-25,Email,162.55
2024-03-25,Direct,90.37
2024-03-25,Partner,16.75
2024-03-26,Organic,1208.12
2024-03-26,Google,615.32
2024-03-26,LinkedIn,123.59
2024-03-26,Facebook,193.48
2024-03-26,Referral,355.23
2024-03-26,Email,73.55
2024-03-26,Direct,326.52
2024-03-26,Partner,63.89
2024-03-27,Organic,415.99
2024-03-27,Google,369.49
2024-03-27,LinkedIn,171.73
2024-03-27,Facebook,592.89
2024-03-27,Referral,96.53
2024-03-27,Email,79.31
2024-03-27,Direct,204.34
2024-03-27,Partner,35.55
2024-03-28,Organic,404.23
2024-03-28,Google,743.57
2024-03-28,LinkedIn,207.36
2024-03-28,Facebook,194.93
2024-03-28,Referral,283.61
2024-03-28,Email,35.81
2024-03-28,Direct,109.06
2024-03-28,Partner,254.09
2024-03-29,Organic,921.41
2024-03-29,Google,664.75
2024-03-29,LinkedIn,179.41
2024-03-29,Facebook,554.76
2024-03-29,Referral,76.75
2024-03-29,Email,28.02
2024-03-29,Direct,412.03
2024-03-29,Partner,36.03
2024-03-30,Organic,406.64
2024-03-30,Google,1118.54
2024-03-30,LinkedIn,42.49
2024-03-30,Facebook,521.67
2024-03-30,Referral,284.99
2024-03-30,Email,50.17
2024-03-30,Direct,204.23
2024-03-30,Partner,37.79
2024-03-31,Organic,273.63
2024-03-31,Google,360.36
2024-03-31,LinkedIn,192.82
2024-03-31,Facebook,417.8
2024-03-31,Referral,158.62
2024-03-31,Email,167.22
2024-03-31,Direct,272.85
2024-03-31,Partner,64.23
2024-04-01,Organic,907.33
2024-04-01,Google,1374.19
2024-04-01,LinkedIn,118.63
2024-04-01,Facebook,405.47
2024-04-01,Referral,69.83
2024-04-01,Email,191.15
2024-04-01,Direct,56.33
2024-04-01,Partner,28.21
2024-04-02,Organic,1179.05
2024-04-02,Google,482.26
2024-04-02,LinkedIn,16.3
2024-04-02,Facebook,937.11
2024-04-02,Referral,462.45
2024-04-02,Email,484.71
2024-04-02,Direct,268.18
2024-04-02,Partner,90.09
2024-04-03,Organic,784.94
2024-04-03,Google,298.09
2024-04-03,LinkedIn,33.02
2024-04-03,Facebook,347.96
2024-04-03,Referral,237.1
2024-04-03,Email,220.36
2024-04-03,Direct,207.22
2024-04-03,Partner,53.45
2024-04-04,Organic,817.79
2024-04-04,Google,152.93
2024-04-04,LinkedIn,37.89
2024-04-04,Facebook,595.37
2024-04-04,Referral,292.21
2024-04-04,Email,203.54
2024-04-04,Direct,79.65
2024-04-04,Partner,44.41
2024-04-05,Organic,345.27
2024-04-05,Google,117.82
2024-04-05,LinkedIn,146.86
2024-04-05,Facebook,586.34
2024-04-05,Referral,162.43
2024-04-05,Email,278.09
2024-04-05,Direct,81.38
2024-04-05,Partner,109.59
2024-04-06,Organic,1060.79
2024-04-06,Google,544.31
2024-04-06,LinkedIn,290.37
2024-04-06,Facebook,27.82
2024-04-06,Referral,73.27
2024-04-06,Email,101.94
2024-04-06,Direct,658.58
2024-04-06,Partner,164.88
2024-04-07,Organic,793.0
2024-04-07,Google,487.03
2024-04-07,LinkedIn,206.27
2024-04-07,Facebook,350.02
2024-04-07,Referral,85.36
2024-04-07,Email,138.8
2024-04-07,Direct,115.66
2024-04-07,Partner,18.32
2024-04-08,Organic,635.56
2024-04-08,Google,986.98
2024-04-08,LinkedIn,182.35
2024-04-08,Facebook,233.2
2024-04-08,Referral,40.99
2024-04-08,Email,109.17
2024-04-08,Direct,36.45
2024-04-08,Partner,233.69
2024-04-09,Organic,667.91
2024-04-09,Google,719.69
2024-04-09,LinkedIn,113.85
2024-04-09,Facebook,458.8
2024-04-09,Referral,8.72
2024-04-09,Email,199.07
2024-04-09,Direct,225.79
2024-04-09,Partner,293.57
2024-04-10,Organic,767.85
2024-04-10,Google,616.02
2024-04-10,LinkedIn,80.15
2024-04-10,Facebook,232.84
2024-04-10,Referral,420.78
2024-04-10,Email,12.5
2024-04-10,Direct,144.08
2024-04-10,Partner,81.56
2024-04-11,Organic,653.35
2024-04-11,Google,411.29
2024-04-11,LinkedIn,67.12
2024-04-11,Facebook,601.53
2024-04-11,Referral,228.46
2024-04-11,Email,33.88
2024-04-11,Direct,598.46
2024-04-11,Partner,37.25
2024-04-12,Organic,442.87
2024-04-12,Google,737.93
2024-04-12,LinkedIn,12.7
2024-04-12,Facebook,340.14
2024-04-12,Referral,191.45
2024-04-12,Email,29.4
2024-04-12,Direct,51.69
2024-04-12,Partner,78.27
2024-04-13,Organic,1153.88
2024-04-13,Google,423.96
2024-04-13,LinkedIn,35.53
2024-04-13,Facebook,411.23
2024-04-13,Referral,508.24
2024-04-13,Email,122.94
2024-04-13,Direct,461.84
2024-04-13,Partner,194.35
2024-04-14,Organic,989.32
2024-04-14,Google,264.04
2024-04-14,LinkedIn,27.97
2024-04-14,Facebook,561.83
2024-04-14,Referral,12.18
2024-04-14,Email,37.35
2024-04-14,Direct,643.99
2024-04-14,Partner,245.24
2024-04-15,Organic,426.53
2024-04-15,Google,508.62
2024-04-15,LinkedIn,113.46
2024-04-15,Facebook,326.89
2024-04-15,Referral,18.04
2024-04-15,Email,198.43
2024-04-15,Direct,144.83
2024-04-15,Partner,185.86
2024-04-16,Organic,1633.86
2024-04-16,Google,408.6
2024-04-16,LinkedIn,78.35
2024-04-16,Facebook,381.26
2024-04-16,Referral,114.37
2024-04-16,Email,55.27
2024-04-16,Direct,129.52
2024-04-16,Partner,118.87
2024-04-17,Organic,252.5
2024-04-17,Google,940.16
2024-04-17,LinkedIn,60.84
2024-04-17,Facebook,94.98
2024-04-17,Referral,627.59
2024-04-17,Email,26.29
2024-04-17,Direct,82.37
2024-04-17,Partner,37.41
2024-04-18,Organic,516.4
2024-04-18,Google,900.13
2024-04-18,LinkedIn,260.91
2024-04-18,Facebook,224.39
2024-04-18,Referral,195.68
2024-04-18,Email,102.98
2024-04-18,Direct,497.29
2024-04-18,Partner,28.69
2024-04-19,Organic,585.31
2024-04-19,Google,469.34
2024-04-19,LinkedIn,118.03
2024-04-19,Facebook,512.97
2024-04-19,Referral,425.77
2024-04-19,Email,573.71
2024-04-19,Direct,97.59
2024-04-19,Partner,80.15
2024-04-20,Organic,865.3
2024-04-20,Google,949.12
2024-04-20,LinkedIn,119.02
2024-04-20,Facebook,160.36
2024-04-20,Referral,222.21
2024-04-20,Email,7.54
2024-04-20,Direct,100.53
2024-04-20,Partner,31.21
2024-04-21,Organic,1287.66
2024-04-21,Google,583.29
2024-04-21,LinkedIn,434.16
2024-04-21,Facebook,804.79
2024-04-21,Referral,125.89
2024-04-21,Email,39.11
2024-04-21,Direct,64.14
2024-04-21,Partner,441.33
2024-04-22,Organic,790.58
2024-04-22,Google,469.83
2024-04-22,LinkedIn,189.73
2024-04-22,Facebook,657.05
2024-04-22,Referral,298.66
2024-04-22,Email,23.32
2024-04-22,Direct,11.33
2024-04-22,Partner,48.77
2024-04-23,Organic,497.82
2024-04-23,Google,566.16
2024-04-23,LinkedIn,551.55
2024-04-23,Facebook,229.17
2024-04-23,Referral,148.09
2024-04-23,Email,70.18
2024-04-23,Direct,186.14
2024-04-23,Partner,37.65
2024-04-24,Organic,486.97
2024-04-24,Google,234.22
