date,channel,onboarded
2024-02-14,Email,8
2024-02-14,Direct,14
2024-02-14,Partner,4
2024-02-15,Organic,47
2024-02-15,Google,21
2024-02-15,LinkedIn,3
2024-02-15,Facebook,6
2024-02-15,Referral,17
2024-02-15,Email,23
2024-02-15,Direct,1
2024-02-15,Partner,4
2024-02-16,Organic,44
2024-02-16,Google,33
2024-02-16,LinkedIn,16
2024-02-16,Facebook,12
2024-02-16,Referral,3
2024-02-16,Email,12
2024-02-16,Direct,24
2024-02-16,Partner,15
2024-02-17,Organic,49
2024-02-17,Google,24
2024-02-17,LinkedIn,8
2024-02-17,Facebook,22
2024-02-17,Referral,27
2024-02-17,Email,21
2024-02-17,Direct,13
2024-02-17,Partner,4
2024-02-18,Organic,46
2024-02-18,Google,36
2024-02-18,LinkedIn,3
2024-02-18,Facebook,20
2024-02-18,Referral,9
2024-02-18,Email,13
2024-02-18,Direct,16
2024-02-18,Partner,4
2024-02-19,Organic,44
2024-02-19,Google,24
2024-02-19,LinkedIn,3
2024-02-19,Facebook,11
2024-02-19,Referral,16
2024-02-19,Email,18
2024-02-19,Direct,2
2024-02-19,Partner,4
2024-02-20,Organic,36
2024-02-20,Google,14
2024-02-20,LinkedIn,13
2024-02-20,Facebook,15
2024-02-20,Referral,18
2024-02-20,Email,10
2024-02-20,Direct,3
2024-02-20,Partner,26
2024-02-21,Organic,43
2024-02-21,Google,34
2024-02-21,LinkedIn,8
2024-02-21,Facebook,15
2024-02-21,Referral,15
2024-02-21,Email,2
2024-02-21,Direct,15
2024-02-21,Partner,4
2024-02-22,Organic,34
2024-02-22,Google,27
2024-02-22,LinkedIn,19
2024-02-22,Facebook,13
2024-02-22,Referral,3
2024-02-22,Email,6
2024-02-22,Direct,7
2024-02-22,Partner,4
2024-02-23,Organic,43
2024-02-23,Google,32
2024-02-23,LinkedIn,26
2024-02-23,Facebook,7
2024-02-23,Referral,19
2024-02-23,Email,9
2024-02-23,Direct,12
2024-02-23,Partner,16
2024-02-24,Organic,47
2024-02-24,Google,24
2024-02-24,LinkedIn,8
2024-02-24,Facebook,18
2024-02-24,Referral,28
2024-02-24,Email,2
2024-02-24,Direct,10
2024-02-24,Partner,12
2024-02-25,Organic,48
2024-02-25,Google,36
2024-02-25,LinkedIn,18
2024-02-25,Facebook,14
2024-02-25,Referral,4
2024-02-25,Email,2
2024-02-25,Direct,10
2024-02-25,Partner,20
2024-02-26,Organic,41
2024-02-26,Google,39
2024-02-26,LinkedIn,21
2024-02-26,Facebook,5
2024-02-26,Referral,11
2024-02-26,Email,2
2024-02-26,Direct,14
2024-02-26,Partner,12
2024-02-27,Organic,41
2024-02-27,Google,32
2024-02-27,LinkedIn,11
2024-02-27,Facebook,8
2024-02-27,Referral,23
2024-02-27,Email,17
2024-02-27,Direct,16
2024-02-27,Partner,18
2024-02-28,Organic,32
2024-02-28,Google,36
2024-02-28,LinkedIn,35
2024-02-28,Facebook,22
2024-02-28,Referral,15
2024-02-28,Email,19
2024-02-28,Direct,9
2024-02-28,Partner,29
2024-02-29,Organic,49
2024-02-29,Google,34
2024-02-29,LinkedIn,31
2024-02-29,Facebook,4
2024-02-29,Referral,16
2024-02-29,Email,2
2024-02-29,Direct,7
2024-02-29,Partner,15
2024-03-01,Organic,44
2024-03-01,Google,29
2024-03-01,LinkedIn,22
2024-03-01,Facebook,13
2024-03-01,Referral,24
2024-03-01,Email,2
2024-03-01,Direct,9
2024-03-01,Partner,4
2024-03-02,Organic,42
2024-03-02,Google,24
2024-03-02,LinkedIn,11
2024-03-02,Facebook,8
2024-03-02,Referral,9
2024-03-02,Email,21
2024-03-02,Direct,14
2024-03-02,Partner,4
2024-03-03,Organic,36
2024-03-03,Google,27
2024-03-03,LinkedIn,8
2024-03-03,Facebook,18
2024-03-03,Referral,9
2024-03-03,Email,2
2024-03-03,Direct,3
2024-03-03,Partner,15
2024-03-04,Organic,43
2024-03-04,Google,24
2024-03-04,LinkedIn,8
2024-03-04,Facebook,12
2024-03-04,Referral,7
2024-03-04,Email,16
2024-03-04,Direct,10
2024-03-04,Partner,4
2024-03-05,Organic,43
2024-03-05,Google,26
2024-03-05,LinkedIn,20
2024-03-05,Facebook,14
2024-03-05,Referral,19
2024-03-05,Email,2
2024-03-05,Direct,11
2024-03-05,Partner,6
2024-03-06,Organic,35
2024-03-06,Google,23
2024-03-06,LinkedIn,15
2024-03-06,Facebook,11
2024-03-06,Referral,14
2024-03-06,Email,18
2024-03-06,Direct,6
2024-03-06,Partner,12
2024-03-07,Organic,45
2024-03-07,Google,41
2024-03-07,LinkedIn,26
2024-03-07,Facebook,16
2024-03-07,Referral,14
2024-03-07,Email,2
2024-03-07,Direct,5
2024-03-07,Partner,8
2024-03-08,Organic,50
2024-03-08,Google,32
2024-03-08,LinkedIn,9
2024-03-08,Facebook,22
2024-03-08,Referral,3
2024-03-08,Email,5
2024-03-08,Direct,14
2024-03-08,Partner,31
2024-03-09,Organic,44
2024-03-09,Google,36
2024-03-09,LinkedIn,21
2024-03-09,Facebook,15
2024-03-09,Referral,14
2024-03-09,Email,15
2024-03-09,Direct,17
2024-03-09,Partner,6
2024-03-10,Organic,42
2024-03-10,Google,16
2024-03-10,LinkedIn,15
2024-03-10,Facebook,14
2024-03-10,Referral,3
2024-03-10,Email,2
2024-03-10,Direct,6
2024-03-10,Partner,19
2024-03-11,Organic,39
2024-03-11,Google,34
2024-03-11,LinkedIn,14
2024-03-11,Facebook,13
2024-03-11,Referral,19
2024-03-11,Email,14
2024-03-11,Direct,13
2024-03-11,Partner,15
2024-03-12,Organic,51
2024-03-12,Google,32
2024-03-12,LinkedIn,15
2024-03-12,Facebook,10
2024-03-12,Referral,17
2024-03-12,Email,14
2024-03-12,Direct,2
2024-03-12,Partner,11
2024-03-13,Organic,42
2024-03-13,Google,19
2024-03-13,LinkedIn,18
2024-03-13,Facebook,9
2024-03-13,Referral,30
2024-03-13,Email,12
2024-03-13,Direct,3
2024-03-13,Partner,29
2024-03-14,Organic,45
2024-03-14,Google,14
2024-03-14,LinkedIn,32
2024-03-14,Facebook,13
2024-03-14,Referral,4
2024-03-14,Email,8
2024-03-14,Direct,3
2024-03-14,Partner,4
2024-03-15,Organic,24
2024-03-15,Google,20
2024-03-15,LinkedIn,48
2024-03-15,Facebook,5
2024-03-15,Referral,3
2024-03-15,Email,2
2024-03-15,Direct,21
2024-03-15,Partner,4
2024-03-16,Organic,42
2024-03-16,Google,38
2024-03-16,LinkedIn,21
2024-03-16,Facebook,8
2024-03-16,Referral,17
2024-03-16,Email,4
2024-03-16,Direct,15
2024-03-16,Partner,9
2024-03-17,Organic,27
2024-03-17,Google,49
2024-03-17,LinkedIn,17
2024-03-17,Facebook,19
2024-03-17,Referral,4
2024-03-17,Email,2
2024-03-17,Direct,21
2024-03-17,Partner,15
2024-03-18,Organic,42
2024-03-18,Google,26
2024-03-18,LinkedIn,24
2024-03-18,Facebook,15
2024-03-18,Referral,9
2024-03-18,Email,6
2024-03-18,Direct,9
2024-03-18,Partner,18
2024-03-19,Organic,47
2024-03-19,Google,24
2024-03-19,LinkedIn,18
2024-03-19,Facebook,11
2024-03-19,Referral,6
2024-03-19,Email,11
2024-03-19,Direct,11
2024-03-19,Partner,38
2024-03-20,Organic,46
2024-03-20,Google,25
2024-03-20,LinkedIn,10
2024-03-20,Facebook,6
2024-03-20,Referral,6
2024-03-20,Email,17
2024-03-20,Direct,10
2024-03-20,Partner,12
2024-03-21,Organic,49
2024-03-21,Google,29
2024-03-21,LinkedIn,10
2024-03-21,Facebook,11
2024-03-21,Referral,3
2024-03-21,Email,8
2024-03-21,Direct,16
2024-03-21,Partner,6
2024-03-22,Organic,48
2024-03-22,Google,33
2024-03-22,LinkedIn,19
2024-03-22,Facebook,11
2024-03-22,Referral,20
2024-03-22,Email,12
2024-03-22,Direct,7
2024-03-22,Partner,4
2024-03-23,Organic,42
2024-03-23,Google,25
2024-03-23,LinkedIn,9
2024-03-23,Facebook,13
2024-03-23,Referral,28
2024-03-23,Email,2
2024-03-23,Direct,14
2024-03-23,Partner,11
2024-03-24,Organic,31
2024-03-24,Google,23
2024-03-24,LinkedIn,10
2024-03-24,Facebook,12
2024-03-24,Referral,3
2024-03-24,Email,2
2024-03-24,Direct,10
2024-03-24,Partner,5
2024-03-25,Organic,53
2024-03-25,Google,22
2024-03-25,LinkedIn,8
2024-03-25,Facebook,22
2024-03-25,Referral,9
2024-03-25,Email,9
2024-03-25,Direct,7
2024-03-25,Partner,4
2024-03-26,Organic,41
2024-03-26,Google,32
2024-03-26,LinkedIn,18
2024-03-26,Facebook,14
2024-03-26,Referral,19
2024-03-26,Email,8
2024-03-26,Direct,10
2024-03-26,Partner,4
2024-03-27,Organic,34
2024-03-27,Google,32
2024-03-27,LinkedIn,41
2024-03-27,Facebook,12
2024-03-27,Referral,9
2024-03-27,Email,19
2024-03-27,Direct,15
2024-03-27,Partner,4
2024-03-28,Organic,44
2024-03-28,Google,22
2024-03-28,LinkedIn,13
2024-03-28,Facebook,6
2024-03-28,Referral,13
2024-03-28,Email,2
2024-03-28,Direct,9
2024-03-28,Partner,22
2024-03-29,Organic,33
2024-03-29,Google,22
2024-03-29,LinkedIn,10
2024-03-29,Facebook,18
2024-03-29,Referral,22
2024-03-29,Email,2
2024-03-29,Direct,15
2024-03-29,Partner,4
2024-03-30,Organic,50
2024-03-30,Google,32
2024-03-30,LinkedIn,4
2024-03-30,Facebook,13
2024-03-30,Referral,23
2024-03-30,Email,2
2024-03-30,Direct,9
2024-03-30,Partner,4
2024-03-31,Organic,41
2024-03-31,Google,30
2024-03-31,LinkedIn,13
2024-03-31,Facebook,11
2024-03-31,Referral,15
2024-03-31,Email,13
2024-03-31,Direct,10
2024-03-31,Partner,6
2024-04-01,Organic,60
2024-04-01,Google,41
2024-04-01,LinkedIn,6
2024-04-01,Facebook,12
2024-04-01,Referral,7
2024-04-01,Email,8
2024-04-01,Direct,5
2024-04-01,Partner,4
2024-04-02,Organic,42
2024-04-02,Google,33
2024-04-02,LinkedIn,5
2024-04-02,Facebook,18
2024-04-02,Referral,19
2024-04-02,Email,19
2024-04-02,Direct,10
2024-04-02,Partner,10
2024-04-03,Organic,45
2024-04-03,Google,24
2024-04-03,LinkedIn,9
2024-04-03,Facebook,14
2024-04-03,Referral,30
2024-04-03,Email,18
2024-04-03,Direct,14
2024-04-03,Partner,30
2024-04-04,Organic,42
2024-04-04,Google,30
2024-04-04,LinkedIn,3
2024-04-04,Facebook,15
2024-04-04,Referral,32
2024-04-04,Email,8
2024-04-04,Direct,18
2024-04-04,Partner,4
2024-04-05,Organic,40
2024-04-05,Google,30
2024-04-05,LinkedIn,15
2024-04-05,Facebook,16
2024-04-05,Referral,12
2024-04-05,Email,15
2024-04-05,Direct,4
2024-04-05,Partner,10
2024-04-06,Organic,50
2024-04-06,Google,27
2024-04-06,LinkedIn,17
2024-04-06,Facebook,1
2024-04-06,Referral,10
2024-04-06,Email,8
2024-04-06,Direct,17
2024-04-06,Partner,11
2024-04-07,Organic,43
2024-04-07,Google,33
2024-04-07,LinkedIn,11
2024-04-07,Facebook,15
2024-04-07,Referral,21
2024-04-07,Email,5
2024-04-07,Direct,6
2024-04-07,Partner,4
2024-04-08,Organic,38
2024-04-08,Google,38
2024-04-08,LinkedIn,22
2024-04-08,Facebook,4
2024-04-08,Referral,5
2024-04-08,Email,9
2024-04-08,Direct,1
2024-04-08,Partner,28
2024-04-09,Organic,24
2024-04-09,Google,28
2024-04-09,LinkedIn,7
2024-04-09,Facebook,11
2024-04-09,Referral,3
2024-04-09,Email,10
2024-04-09,Direct,17
2024-04-09,Partner,22
2024-04-10,Organic,46
2024-04-10,Google,31
2024-04-10,LinkedIn,8
2024-04-10,Facebook,12
2024-04-10,Referral,21
2024-04-10,Email,2
2024-04-10,Direct,4
2024-04-10,Partner,8
2024-04-11,Organic,48
2024-04-11,Google,27
2024-04-11,LinkedIn,21
2024-04-11,Facebook,20
2024-04-11,Referral,22
2024-04-11,Email,2
2024-04-11,Direct,17
2024-04-11,Partner,5
2024-04-12,Organic,37
2024-04-12,Google,24
2024-04-12,LinkedIn,3
2024-04-12,Facebook,13
2024-04-12,Referral,24
2024-04-12,Email,2
2024-04-12,Direct,1
2024-04-12,Partner,6
2024-04-13,Organic,46
2024-04-13,Google,28
2024-04-13,LinkedIn,3
2024-04-13,Facebook,12
2024-04-13,Referral,22
2024-04-13,Email,5
2024-04-13,Direct,13
2024-04-13,Partner,18
2024-04-14,Organic,52
2024-04-14,Google,24
2024-04-14,LinkedIn,5
2024-04-14,Facebook,18
2024-04-14,Referral,3
2024-04-14,Email,2
2024-04-14,Direct,18
2024-04-14,Partner,34
2024-04-15,Organic,25
2024-04-15,Google,20
2024-04-15,LinkedIn,28
2024-04-15,Facebook,11
2024-04-15,Referral,3
2024-04-15,Email,15
2024-04-15,Direct,14
2024-04-15,Partner,16
2024-04-16,Organic,58
2024-04-16,Google,25
2024-04-16,LinkedIn,22
2024-04-16,Facebook,18
2024-04-16,Referral,7
2024-04-16,Email,6
2024-04-16,Direct,3
2024-04-16,Partner,22
2024-04-17,Organic,52
2024-04-17,Google,28
2024-04-17,LinkedIn,10
2024-04-17,Facebook,12
2024-04-17,Referral,27
2024-04-17,Email,2
2024-04-17,Direct,6
2024-04-17,Partner,5
2024-04-18,Organic,41
2024-04-18,Google,30
2024-04-18,LinkedIn,34
2024-04-18,Facebook,12
2024-04-18,Referral,18
2024-04-18,Email,8
2024-04-18,Direct,12
2024-04-18,Partner,4
2024-04-19,Organic,35
2024-04-19,Google,25
2024-04-19,LinkedIn,14
2024-04-19,Facebook,18
2024-04-19,Referral,34
2024-04-19,Email,21
2024-04-19,Direct,3
2024-04-19,Partner,15
2024-04-20,Organic,45
2024-04-20,Google,34
2024-04-20,LinkedIn,9
2024-04-20,Facebook,12
2024-04-20,Referral,16
2024-04-20,Email,2
2024-04-20,Direct,7
2024-04-20,Partner,4
2024-04-21,Organic,45
2024-04-21,Google,32
2024-04-21,LinkedIn,28
2024-04-21,Facebook,20
2024-04-21,Referral,9
2024-04-21,Email,2
2024-04-21,Direct,1
2024-04-21,Partner,31
2024-04-22,Organic,39
2024-04-22,Google,30
2024-04-22,LinkedIn,11
2024-04-22,Facebook,15
2024-04-22,Referral,26
2024-04-22,Email,2
2024-04-22,Direct,1
2024-04-22,Partner,4
2024-04-23,Organic,45
2024-04-23,Google,32
2024-04-23,LinkedIn,28
2024-04-23,Facebook,19
2024-04-23,Referral,7
2024-04-23,Email,2
2024-04-23,Direct,13
2024-04-23,Partner,4
2024-04-24,Organic,45
2024-04-24,Google,33
2024-04-24,LinkedIn,6
2024-04-24,Facebook,21
2024-04-24,Referral,32
2024-04-24,Email,4
2024-04-24,Direct,1
2024-04-24,Partner,13
2024-04-25,Organic,31
2024-04-25,Google,20
2024-04-25,LinkedIn,39
2024-04-25,Facebook,16
2024-04-25,Referral,14
2024-04-25,Email,8
2024-04-25,Direct,10
2024-04-25,Partner,12
2024-04-26,Organic,49
2024-04-26,Google,33
2024-04-26,LinkedIn,3
2024-04-26,Facebook,9
2024-04-26,Referral,3
2024-04-26,Email,13
2024-04-26,Direct,1
2024-04-26,Partner,4
2024-04-27,Organic,40
2024-04-27,Google,32
2024-04-27,LinkedIn,11
2024-04-27,Facebook,14
2024-04-27,Referral,17
2024-04-27,Email,8
2024-04-27,Direct,14
2024-04-27,Partner,27
2024-04-28,Organic,50
2024-04-28,Google,28
2024-04-28,LinkedIn,16
2024-04-28,Facebook,9
2024-04-28,Referral,3
2024-04-28,Email,10
2024-04-28,Direct,10
2024-04-28,Partner,18
2024-04-29,Organic,55
2024-04-29,Google,25
2024-04-29,LinkedIn,3
2024-04-29,Facebook,8
2024-04-29,Referral,22
2024-04-29,Email,2
2024-04-29,Direct,2
2024-04-29,Partner,4
2024-04-30,Organic,54
2024-04-30,Google,27
2024-04-30,LinkedIn,22
2024-04-30,Facebook,8
2024-04-30,Referral,22
2024-04-30,Email,15
2024-04-30,Direct,8
2024-04-30,Partner,9
2024-05-01,Organic,41
2024-05-01,Google,19
2024-05-01,LinkedIn,5
2024-05-01,Facebook,9
2024-05-01,Referral,39
2024-05-01,Email,19
2024-05-01,Direct,4
2024-05-01,Partner,4
2024-05-02,Organic,32
2024-05-02,Google,34
2024-05-02,LinkedIn,5
2024-05-02,Facebook,6
2024-05-02,Referral,32
2024-05-02,Email,11
2024-05-02,Direct,15
2024-05-02,Partner,4
2024-05-03,Organic,50
2024-05-03,Google,31
2024-05-03,LinkedIn,34
2024-05-03,Facebook,8
2024-05-03,Referral,24
2024-05-03,Email,23
2024-05-03,Direct,1
2024-05-03,Partner,4
2024-05-04,Organic,54
2024-05-04,Google,30
2024-05-04,LinkedIn,31
2024-05-04,Facebook,15
2024-05-04,Referral,24
2024-05-04,Email,12
2024-05-04,Direct,1
2024-05-04,Partner,33
2024-05-05,Organic,54
2024-05-05,Google,33
2024-05-05,LinkedIn,22
2024-05-05,Facebook,7
2024-05-05,Referral,14
2024-05-05,Email,18
2024-05-05,Direct,10
2024-05-05,Partner,22
2024-05-06,Organic,42
2024-05-06,Google,33
2024-05-06,LinkedIn,19
2024-05-06,Facebook,13
2024-05-06,Referral,6
2024-05-06,Email,2
2024-05-06,Direct,3
2024-05-06,Partner,5
2024-05-07,Organic,33
2024-05-07,Google,34
2024-05-07,LinkedIn,33
2024-05-07,Facebook,14
2024-05-07,Referral,9
2024-05-07,Email,5
2024-05-07,Direct,8
2024-05-07,Partner,22
2024-05-08,Organic,36
2024-05-08,Google,37
2024-05-08,LinkedIn,14
2024-05-08,Facebook,18
2024-05-08,Referral,36
2024-05-08,Email,2
2024-05-08,Direct,24
2024-05-08,Partner,4
2024-05-09,Organic,51
2024-05-09,Google,32
2024-05-09,LinkedIn,18
2024-05-09,Facebook,15
2024-05-09,Referral,20
2024-05-09,Email,23
2024-05-09,Direct,6
2024-05-09,Partner,21
2024-05-10,Organic,45
2024-05-10,Google,22
2024-05-10,LinkedIn,3
2024-05-10,Facebook,9
2024-05-10,Referral,35
2024-05-10,Email,2
2024-05-10,Direct,8
2024-05-10,Partner,4
2024-05-11,Organic,42
2024-05-11,Google,28
2024-05-11,LinkedIn,7
2024-05-11,Facebook,8
2024-05-11,Referral,13
2024-05-11,Email,2
2024-05-11,Direct,1
